"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,59.9933,-0.0996072,0.165393,1.12285,0.0773312,0.0187121,-1.27967
1_1,Constant Potential,119.993,-0.0993077,0.165692,0.651341,0.0448582,0.033497,-1.20779
1_1,Constant Potential,179.993,-0.09914,0.16586,0.345655,0.0238055,0.0418053,-1.15319
1_1,Constant Potential,239.993,-0.0991827,0.165817,0.229191,0.0157845,0.0465957,-1.12304
1_1,Constant Potential,299.993,-0.0991088,0.165891,0.189243,0.0130333,0.0500826,-1.10797
1_1,Constant Potential,359.993,-0.0990905,0.16591,0.172979,0.0119132,0.0531012,-1.10125
1_1,Constant Potential,419.993,-0.0990928,0.165907,0.163737,0.0112767,0.0559071,-1.09711
1_1,Constant Potential,479.993,-0.0990691,0.165931,0.156859,0.010803,0.0585788,-1.09488
1_1,Constant Potential,539.993,-0.099092,0.165908,0.152841,0.0105262,0.0611596,-1.09324
1_1,Constant Potential,599.993,-0.0990684,0.165932,0.150365,0.0103557,0.0636863,-1.09241
1_1,Constant Potential,659.993,-0.0990745,0.165926,0.147975,0.0101911,0.0661725,-1.09157
1_1,Constant Potential,719.993,-0.0990569,0.165943,0.146027,0.0100569,0.0686225,-1.09086
1_1,Constant Potential,779.993,-0.0990303,0.16597,0.144712,0.00996641,0.0710453,-1.09078
1_1,Constant Potential,839.993,-0.0990714,0.165929,0.142839,0.00983738,0.0734416,-1.0908
1_1,Constant Potential,899.993,-0.0990486,0.165951,0.141858,0.00976983,0.0758141,-1.08999
1_1,Constant Potential,959.993,-0.0990425,0.165958,0.140642,0.00968608,0.0781682,-1.08967
1_1,Constant Potential,1019.99,-0.0990714,0.165929,0.140417,0.00967062,0.0805104,-1.08963
1_1,Constant Potential,1079.99,-0.0990714,0.165929,0.138848,0.00956255,0.0828376,-1.09
1_1,Constant Potential,1139.99,-0.099063,0.165937,0.138487,0.00953765,0.0851487,-1.0893
