"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,59.9928,0.397682,0.662682,4.62429,0.318477,0.0770622,-1.18766
1_1,Constant Potential,119.993,0.397879,0.662879,4.20225,0.289411,0.150617,-1.161
1_1,Constant Potential,179.993,0.397948,0.662948,3.8804,0.267245,0.217972,-1.13703
1_1,Constant Potential,239.993,0.398025,0.663025,3.60934,0.248577,0.280387,-1.11749
1_1,Constant Potential,299.993,0.398091,0.663091,3.46906,0.238916,0.339373,-1.1071
1_1,Constant Potential,359.993,0.398147,0.663147,3.30379,0.227534,0.395814,-1.09348
1_1,Constant Potential,419.993,0.398187,0.663187,3.1841,0.219291,0.44988,-1.08259
1_1,Constant Potential,479.993,0.398192,0.663192,3.13583,0.215967,0.502546,-1.08017
1_1,Constant Potential,539.993,0.3982,0.6632,2.98681,0.205703,0.553568,-1.06675
1_1,Constant Potential,599.993,0.398252,0.663252,2.94551,0.202859,0.603004,-1.06317
1_1,Constant Potential,659.993,0.39829,0.66329,2.86134,0.197062,0.651394,-1.05659
1_1,Constant Potential,719.993,0.398338,0.663338,2.78242,0.191627,0.698426,-1.04989
1_1,Constant Potential,779.993,0.39831,0.66331,2.72643,0.187771,0.744333,-1.04413
1_1,Constant Potential,839.993,0.398388,0.663388,2.68762,0.185097,0.78945,-1.04176
1_1,Constant Potential,899.993,0.398403,0.663403,2.61477,0.180081,0.833636,-1.03496
1_1,Constant Potential,959.993,0.398434,0.663434,2.57863,0.177592,0.876915,-1.03269
1_1,Constant Potential,1019.99,0.398404,0.663404,2.54528,0.175295,0.919614,-1.02848
1_1,Constant Potential,1079.99,0.39845,0.66345,2.49797,0.172037,0.961641,-1.02414
1_1,Constant Potential,1139.99,0.398451,0.663451,2.44619,0.16847,1.00284,-1.0182
1_1,Constant Potential,1199.99,0.398466,0.663466,2.41513,0.166331,1.04335,-1.01432
1_1,Constant Potential,1259.99,0.398454,0.663454,2.39114,0.164679,1.08341,-1.01369
1_1,Constant Potential,1319.99,0.398511,0.663511,2.33477,0.160797,1.12279,-1.00918
1_1,Constant Potential,1379.99,0.398476,0.663476,2.31511,0.159443,1.16154,-1.00615
1_1,Constant Potential,1439.99,0.398506,0.663506,2.27623,0.156765,1.1998,-1.00158
1_1,Constant Potential,1499.99,0.398556,0.663556,2.2379,0.154125,1.23742,-0.997935
1_1,Constant Potential,1559.99,0.398557,0.663557,2.24266,0.154453,1.27475,-1.00119
1_1,Constant Potential,1619.99,0.398543,0.663543,2.21542,0.152577,1.3119,-0.994734
1_1,Constant Potential,1679.99,0.398557,0.663557,2.16948,0.149413,1.34845,-0.992402
1_1,Constant Potential,1739.99,0.398573,0.663573,2.14735,0.147889,1.38442,-0.989167
1_1,Constant Potential,1799.99,0.398591,0.663591,2.12649,0.146452,1.42003,-0.986277
1_1,Constant Potential,1859.99,0.398556,0.663556,2.13774,0.147227,1.45557,-0.989603
1_1,Constant Potential,1919.99,0.398531,0.663531,2.15082,0.148128,1.49131,-0.99156
1_1,Constant Potential,1979.99,0.398552,0.663552,2.08549,0.143629,1.52661,-0.985669
1_1,Constant Potential,2039.99,0.398566,0.663566,2.07373,0.142819,1.56127,-0.982537
1_1,Constant Potential,2099.99,0.398562,0.663562,2.0435,0.140737,1.59558,-0.978515
1_1,Constant Potential,2159.99,0.398611,0.663611,2.047,0.140978,1.62967,-0.98232
1_1,Constant Potential,2219.99,0.398559,0.663559,2.03251,0.13998,1.66366,-0.976772
1_1,Constant Potential,2279.99,0.398599,0.663599,2.02357,0.139365,1.69746,-0.976419
1_1,Constant Potential,2339.99,0.398611,0.663611,1.98728,0.136865,1.73089,-0.970995
1_1,Constant Potential,2399.99,0.398633,0.663633,1.98075,0.136415,1.76396,-0.970748
1_1,Constant Potential,2459.99,0.398633,0.663633,1.9557,0.13469,1.79676,-0.969138
1_1,Constant Potential,2519.99,0.39864,0.66364,1.94442,0.133913,1.82926,-0.965774
1_1,Constant Potential,2579.99,0.398624,0.663624,1.93348,0.133159,1.86158,-0.966419
1_1,Constant Potential,2639.99,0.398674,0.663674,1.90057,0.130893,1.89353,-0.961911
1_1,Constant Potential,2699.99,0.398653,0.663653,1.89165,0.130279,1.92513,-0.957265
1_1,Constant Potential,2759.99,0.398653,0.663653,1.89192,0.130298,1.95666,-0.956747
