"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,59.9927,0.362587,0.627587,2.11213,0.145463,0.0351978,-0.646507
1_1,Constant Potential,119.993,0.362762,0.627762,2.05432,0.141482,0.0699182,-0.645553
1_1,Constant Potential,179.993,0.362838,0.627838,2.04147,0.140597,0.10405,-0.646152
1_1,Constant Potential,239.993,0.362879,0.627879,2.03216,0.139956,0.137997,-0.646438
1_1,Constant Potential,299.993,0.362913,0.627913,2.02318,0.139337,0.171791,-0.646302
1_1,Constant Potential,359.993,0.362962,0.627962,2.00992,0.138424,0.2054,-0.645825
1_1,Constant Potential,419.993,0.362951,0.627951,1.9936,0.1373,0.238763,-0.644821
1_1,Constant Potential,479.993,0.362928,0.627928,1.98682,0.136833,0.271933,-0.644465
1_1,Constant Potential,539.993,0.362963,0.627963,1.98043,0.136393,0.304993,-0.644075
1_1,Constant Potential,599.993,0.362982,0.627982,1.96134,0.135078,0.337841,-0.642716
1_1,Constant Potential,659.993,0.362995,0.627995,1.95311,0.134512,0.370462,-0.641934
1_1,Constant Potential,719.993,0.363023,0.628023,1.94923,0.134245,0.402981,-0.641597
1_1,Constant Potential,779.993,0.363098,0.628098,1.93585,0.133323,0.435357,-0.640529
1_1,Constant Potential,839.993,0.363046,0.628046,1.92702,0.132715,0.467548,-0.63992
1_1,Constant Potential,899.993,0.363164,0.628164,1.91082,0.131599,0.49953,-0.638598
1_1,Constant Potential,959.993,0.363158,0.628158,1.90747,0.131368,0.531349,-0.638242
1_1,Constant Potential,1019.99,0.363161,0.628161,1.89615,0.130589,0.563045,-0.637431
1_1,Constant Potential,1079.99,0.363179,0.628179,1.88646,0.129921,0.594567,-0.636736
1_1,Constant Potential,1139.99,0.363211,0.628211,1.88068,0.129523,0.62596,-0.636217
1_1,Constant Potential,1199.99,0.363265,0.628265,1.8673,0.128602,0.657193,-0.635131
1_1,Constant Potential,1259.99,0.363271,0.628271,1.85694,0.127889,0.688229,-0.634233
1_1,Constant Potential,1319.99,0.363288,0.628288,1.84667,0.127181,0.719092,-0.633472
1_1,Constant Potential,1379.99,0.363305,0.628305,1.83426,0.126327,0.749767,-0.632474
1_1,Constant Potential,1439.99,0.363314,0.628314,1.82913,0.125973,0.780295,-0.631891
1_1,Constant Potential,1499.99,0.363348,0.628348,1.81775,0.125189,0.810686,-0.630842
1_1,Constant Potential,1559.99,0.363364,0.628364,1.81401,0.124932,0.84095,-0.630463
1_1,Constant Potential,1619.99,0.363361,0.628361,1.80449,0.124276,0.871104,-0.629617
1_1,Constant Potential,1679.99,0.363396,0.628396,1.79448,0.123587,0.901096,-0.628781
1_1,Constant Potential,1739.99,0.363396,0.628396,1.79176,0.123399,0.930981,-0.628521
1_1,Constant Potential,1799.99,0.363441,0.628441,1.7789,0.122514,0.960737,-0.627403
1_1,Constant Potential,1859.99,0.363469,0.628469,1.77274,0.12209,0.990334,-0.626897
1_1,Constant Potential,1919.99,0.363486,0.628486,1.7717,0.122018,1.01987,-0.626726
1_1,Constant Potential,1979.99,0.36348,0.62848,1.76581,0.121612,1.04935,-0.626092
