"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,59.9924,0.59908,0.86408,2.44234,0.168205,0.0407006,-1.14168
1_1,Constant Potential,120.992,0.599843,0.864843,1.15951,0.0798561,0.0712163,-1.04421
1_1,Constant Potential,180.992,0.599897,0.864897,1.01248,0.0697301,0.0893162,-1.0307
1_1,Constant Potential,240.992,0.599906,0.864906,0.973823,0.0670677,0.105869,-1.02754
1_1,Constant Potential,300.992,0.599964,0.864964,0.957366,0.0659343,0.121962,-1.02636
1_1,Constant Potential,360.992,0.599932,0.864932,0.94747,0.0652527,0.137836,-1.0259
1_1,Constant Potential,420.992,0.599924,0.864924,0.941535,0.064844,0.153577,-1.02564
1_1,Constant Potential,480.992,0.599938,0.864938,0.940309,0.0647596,0.169259,-1.02595
1_1,Constant Potential,540.992,0.599946,0.864946,0.938609,0.0646425,0.184917,-1.02611
1_1,Constant Potential,600.992,0.599934,0.864934,0.93742,0.0645606,0.200551,-1.02624
1_1,Constant Potential,660.992,0.599924,0.864924,0.937296,0.0645521,0.216173,-1.02658
1_1,Constant Potential,720.992,0.599902,0.864902,0.937604,0.0645733,0.231797,-1.02674
1_1,Constant Potential,780.992,0.599918,0.864918,0.937193,0.064545,0.247421,-1.02684
1_1,Constant Potential,840.992,0.599909,0.864909,0.937133,0.0645408,0.26304,-1.02704
1_1,Constant Potential,900.992,0.599921,0.864921,0.937313,0.0645532,0.27866,-1.02722
1_1,Constant Potential,960.992,0.599934,0.864934,0.936769,0.0645158,0.294278,-1.02719
1_1,Constant Potential,1020.99,0.599934,0.864934,0.935855,0.0644528,0.309883,-1.02723
1_1,Constant Potential,1080.99,0.599914,0.864914,0.936045,0.0644659,0.325482,-1.02727
1_1,Constant Potential,1140.99,0.599937,0.864937,0.936311,0.0644842,0.341085,-1.02753
1_1,Constant Potential,1200.99,0.599901,0.864901,0.936992,0.0645311,0.356696,-1.02769
1_1,Constant Potential,1260.99,0.599943,0.864943,0.934955,0.0643908,0.372296,-1.02757
1_1,Constant Potential,1320.99,0.599912,0.864912,0.937657,0.0645769,0.387901,-1.02797
1_1,Constant Potential,1380.99,0.599918,0.864918,0.936869,0.0645227,0.403522,-1.02803
1_1,Constant Potential,1440.99,0.599915,0.864915,0.937207,0.0645459,0.419139,-1.02815
1_1,Constant Potential,1500.99,0.599732,0.864732,0.931945,0.0641835,0.434715,-1.02809
1_1,Constant Potential,1560.99,0.599938,0.864938,0.938113,0.0646083,0.450299,-1.02846
1_1,Constant Potential,1620.99,0.599936,0.864936,0.937214,0.0645464,0.465927,-1.02847
1_1,Constant Potential,1680.99,0.599928,0.864928,0.936449,0.0644937,0.481541,-1.02831
1_1,Constant Potential,1740.99,0.599913,0.864913,0.93549,0.0644277,0.49714,-1.02811
1_1,Constant Potential,1800.99,0.599928,0.864928,0.937982,0.0645993,0.512752,-1.02844
1_1,Constant Potential,1860.99,0.59994,0.86494,0.938194,0.0646139,0.528387,-1.02856
1_1,Constant Potential,1920.99,0.59995,0.86495,0.937582,0.0645718,0.544019,-1.02861
1_1,Constant Potential,1980.99,0.599896,0.864896,0.937556,0.06457,0.559645,-1.02857
1_1,Constant Potential,2040.99,0.599911,0.864911,0.937918,0.0645949,0.575274,-1.02878
1_1,Constant Potential,2100.99,0.59994,0.86494,0.937973,0.0645987,0.590906,-1.02873
1_1,Constant Potential,2160.99,0.59988,0.86488,0.938539,0.0646377,0.606544,-1.02881
1_1,Constant Potential,2220.99,0.599945,0.864945,0.938874,0.0646608,0.622189,-1.02891
1_1,Constant Potential,2280.99,0.599944,0.864944,0.938417,0.0646292,0.637833,-1.02893
1_1,Constant Potential,2340.99,0.599869,0.864869,0.936174,0.0644748,0.653455,-1.02856
1_1,Constant Potential,2400.99,0.599922,0.864922,0.935434,0.0644238,0.669051,-1.02848
1_1,Constant Potential,2460.99,0.599921,0.864921,0.935175,0.064406,0.68464,-1.02853
1_1,Constant Potential,2520.99,0.599915,0.864915,0.935263,0.064412,0.700227,-1.02856
1_1,Constant Potential,2580.99,0.599902,0.864902,0.936569,0.064502,0.715825,-1.02883
1_1,Constant Potential,2640.99,0.599915,0.864915,0.935907,0.0644564,0.731429,-1.02891
1_1,Constant Potential,2700.99,0.599882,0.864882,0.937187,0.0645446,0.747038,-1.0289
1_1,Constant Potential,2760.99,0.599916,0.864916,0.93793,0.0645958,0.762664,-1.02914
