"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,59.9924,0.599959,0.599959,0.854242,0.0588321,0.0142356,-0.961267
1_1,Constant Potential,119.992,0.600176,0.600176,0.469284,0.0323198,0.0252649,-0.904341
1_1,Constant Potential,179.992,0.600252,0.600252,0.380198,0.0261844,0.032344,-0.885942
1_1,Constant Potential,239.992,0.600261,0.600261,0.343673,0.0236689,0.0383762,-0.87766
1_1,Constant Potential,299.992,0.60024,0.60024,0.325373,0.0224086,0.0439516,-0.873314
1_1,Constant Potential,359.992,0.600238,0.600238,0.312945,0.0215527,0.0492709,-0.87024
1_1,Constant Potential,419.992,0.60027,0.60027,0.305258,0.0210233,0.0544226,-0.868185
1_1,Constant Potential,479.992,0.600274,0.600274,0.300899,0.0207231,0.0594739,-0.867179
1_1,Constant Potential,539.992,0.600265,0.600265,0.297362,0.0204795,0.0644594,-0.866513
1_1,Constant Potential,599.992,0.600277,0.600277,0.295278,0.0203359,0.0693981,-0.865989
1_1,Constant Potential,659.992,0.600268,0.600268,0.292375,0.020136,0.0742952,-0.865316
1_1,Constant Potential,719.992,0.600284,0.600284,0.290605,0.0200141,0.0791534,-0.864922
1_1,Constant Potential,779.992,0.60025,0.60025,0.289809,0.0199593,0.0839901,-0.864643
1_1,Constant Potential,839.992,0.600311,0.600311,0.288651,0.0198795,0.0888106,-0.86447
1_1,Constant Potential,899.992,0.600257,0.600257,0.28665,0.0197417,0.0936048,-0.864196
1_1,Constant Potential,959.992,0.600241,0.600241,0.287199,0.0197796,0.0983869,-0.864313
1_1,Constant Potential,1019.99,0.60029,0.60029,0.286179,0.0197093,0.103165,-0.864057
1_1,Constant Potential,1079.99,0.60023,0.60023,0.285476,0.0196609,0.107929,-0.8638
1_1,Constant Potential,1139.99,0.600246,0.600246,0.285681,0.019675,0.112688,-0.863906
1_1,Constant Potential,1199.99,0.600261,0.600261,0.285536,0.019665,0.117449,-0.863906
1_1,Constant Potential,1259.99,0.600298,0.600298,0.284166,0.0195707,0.122196,-0.86346
1_1,Constant Potential,1319.99,0.600266,0.600266,0.285729,0.0196783,0.126945,-0.86355
1_1,Constant Potential,1379.99,0.600288,0.600288,0.284839,0.019617,0.1317,-0.863528
1_1,Constant Potential,1440.99,0.600281,0.600281,0.283508,0.0195253,0.136515,-0.863414
1_1,Constant Potential,1500.99,0.600252,0.600252,0.283302,0.0195112,0.141239,-0.863313
1_1,Constant Potential,1560.99,0.600293,0.600293,0.283557,0.0195287,0.145962,-0.863445
1_1,Constant Potential,1620.99,0.600242,0.600242,0.283361,0.0195153,0.150687,-0.863377
1_1,Constant Potential,1680.99,0.600283,0.600283,0.283848,0.0195487,0.155413,-0.863492
1_1,Constant Potential,1740.99,0.600241,0.600241,0.283044,0.0194934,0.160138,-0.863332
1_1,Constant Potential,1800.99,0.600261,0.600261,0.282975,0.0194886,0.164854,-0.863277
1_1,Constant Potential,1860.99,0.600304,0.600304,0.28215,0.0194318,0.169564,-0.86325
1_1,Constant Potential,1920.99,0.600257,0.600257,0.282944,0.0194865,0.174273,-0.86339
1_1,Constant Potential,1980.99,0.600286,0.600286,0.283312,0.0195119,0.178992,-0.86349
1_1,Constant Potential,2040.99,0.600261,0.600261,0.283066,0.0194949,0.183711,-0.863461
1_1,Constant Potential,2100.99,0.600261,0.600261,0.282097,0.0194282,0.188421,-0.86332
1_1,Constant Potential,2160.99,0.600273,0.600273,0.283108,0.0194978,0.193131,-0.863473
1_1,Constant Potential,2220.99,0.60027,0.60027,0.282568,0.0194606,0.197845,-0.863397
1_1,Constant Potential,2280.99,0.600281,0.600281,0.281788,0.0194069,0.202548,-0.863125
1_1,Constant Potential,2340.99,0.600274,0.600274,0.282435,0.0194515,0.20725,-0.86323
1_1,Constant Potential,2400.99,0.60028,0.60028,0.282782,0.0194754,0.21196,-0.863214
1_1,Constant Potential,2460.99,0.600277,0.600277,0.283265,0.0195086,0.216677,-0.863455
1_1,Constant Potential,2520.99,0.600241,0.600241,0.282706,0.0194701,0.221394,-0.863418
1_1,Constant Potential,2580.99,0.600298,0.600298,0.282385,0.019448,0.226103,-0.863256
1_1,Constant Potential,2640.99,0.600277,0.600277,0.282258,0.0194393,0.230808,-0.863305
1_1,Constant Potential,2700.99,0.60028,0.60028,0.281946,0.0194178,0.23551,-0.863294
1_1,Constant Potential,2760.99,0.600267,0.600267,0.282397,0.0194488,0.240213,-0.863316
