"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,59.9954,0.697832,0.962832,4.49104,0.309301,0.074845,-1.27057
1_1,Constant Potential,119.995,0.69881,0.96381,2.69289,0.18546,0.134711,-1.12457
1_1,Constant Potential,179.995,0.69909,0.96409,2.25205,0.1551,0.175919,-1.08611
1_1,Constant Potential,239.995,0.699164,0.964164,2.07766,0.143089,0.212,-1.06974
1_1,Constant Potential,299.995,0.699181,0.964181,1.9893,0.137004,0.245891,-1.0628
1_1,Constant Potential,359.995,0.699205,0.964205,1.91267,0.131727,0.278408,-1.05589
1_1,Constant Potential,419.995,0.699265,0.964265,1.84645,0.127166,0.309734,-1.0499
1_1,Constant Potential,479.995,0.699279,0.964279,1.79102,0.123348,0.340046,-1.04534
1_1,Constant Potential,539.995,0.699313,0.964313,1.75386,0.120789,0.369586,-1.04167
1_1,Constant Potential,599.995,0.699326,0.964326,1.71721,0.118265,0.398512,-1.03794
1_1,Constant Potential,659.995,0.699351,0.964351,1.68476,0.11603,0.426862,-1.03502
1_1,Constant Potential,719.995,0.699325,0.964325,1.66077,0.114378,0.454741,-1.03258
1_1,Constant Potential,779.995,0.699402,0.964402,1.63183,0.112385,0.482179,-1.0295
1_1,Constant Potential,840.995,0.699394,0.964394,1.61479,0.111211,0.509686,-1.02852
1_1,Constant Potential,900.995,0.699424,0.964424,1.59811,0.110063,0.53646,-1.02711
1_1,Constant Potential,960.995,0.699389,0.964389,1.56981,0.108113,0.562859,-1.02387
1_1,Constant Potential,1021,0.699438,0.964438,1.55954,0.107406,0.588937,-1.02289
1_1,Constant Potential,1081,0.699478,0.964478,1.53715,0.105864,0.614743,-1.02104
1_1,Constant Potential,1141,0.699485,0.964485,1.52107,0.104757,0.640228,-1.01913
1_1,Constant Potential,1201,0.699465,0.964465,1.51033,0.104017,0.66549,-1.0183
1_1,Constant Potential,1261,0.699476,0.964476,1.49861,0.10321,0.690564,-1.01716
1_1,Constant Potential,1321,0.699462,0.964462,1.4811,0.102004,0.715395,-1.01516
1_1,Constant Potential,1381,0.699511,0.964511,1.46787,0.101093,0.73997,-1.0138
1_1,Constant Potential,1441,0.699517,0.964517,1.42437,0.098097,0.764072,-1.00986
1_1,Constant Potential,1501,0.699477,0.964477,1.44879,0.0997792,0.788015,-1.01134
