"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,59.9955,0.499084,0.764084,4.22921,0.291268,0.0704815,-0.750522
1_1,Constant Potential,119.995,0.499067,0.764067,3.94188,0.271479,0.138574,-0.735508
1_1,Constant Potential,179.996,0.499129,0.764129,3.80961,0.26237,0.20317,-0.728462
1_1,Constant Potential,239.995,0.499192,0.764192,3.59844,0.247827,0.264903,-0.712189
1_1,Constant Potential,299.996,0.49917,0.76417,3.4892,0.240303,0.323967,-0.704514
1_1,Constant Potential,359.995,0.499231,0.764231,3.38991,0.233465,0.381293,-0.695316
1_1,Constant Potential,419.995,0.4992,0.7642,3.32718,0.229144,0.437269,-0.687988
1_1,Constant Potential,479.996,0.499322,0.764322,3.18878,0.219613,0.491568,-0.680386
1_1,Constant Potential,539.995,0.499355,0.764355,3.12681,0.215345,0.544198,-0.677992
1_1,Constant Potential,599.996,0.499284,0.764284,3.19838,0.220274,0.596908,-0.688782
1_1,Constant Potential,659.995,0.499339,0.764339,3.08287,0.212319,0.649252,-0.677119
1_1,Constant Potential,719.995,0.499312,0.764312,2.91343,0.20065,0.699221,-0.651279
1_1,Constant Potential,779.996,0.499313,0.764313,2.85367,0.196534,0.74728,-0.651815
1_1,Constant Potential,839.995,0.499425,0.764425,2.81592,0.193934,0.794527,-0.648551
1_1,Constant Potential,899.996,0.499392,0.764392,2.73663,0.188473,0.840798,-0.635778
1_1,Constant Potential,959.995,0.499431,0.764431,2.74227,0.188862,0.886456,-0.640566
1_1,Constant Potential,1020,0.499428,0.764428,2.74215,0.188853,0.932159,-0.634744
1_1,Constant Potential,1080,0.49933,0.76433,2.69959,0.185922,0.977507,-0.621727
1_1,Constant Potential,1140,0.499422,0.764422,2.59968,0.179041,1.02167,-0.602802
1_1,Constant Potential,1200,0.499472,0.764472,2.6795,0.184539,1.06566,-0.628209
1_1,Constant Potential,1260,0.499519,0.764519,2.51358,0.173112,1.10894,-0.606974
1_1,Constant Potential,1320,0.499479,0.764479,2.47604,0.170526,1.15052,-0.596207
1_1,Constant Potential,1380,0.499567,0.764567,2.35283,0.162041,1.19076,-0.582566
1_1,Constant Potential,1440,0.499642,0.764642,2.27317,0.156555,1.22931,-0.567752
1_1,Constant Potential,1500,0.499514,0.764514,2.43139,0.167451,1.26851,-0.581121
1_1,Constant Potential,1560,0.499461,0.764461,2.37783,0.163762,1.30859,-0.563873
1_1,Constant Potential,1620,0.49963,0.76463,1.95667,0.134757,1.34471,-0.485458
1_1,Constant Potential,1680,0.499642,0.764642,1.9519,0.134429,1.37728,-0.480448
1_1,Constant Potential,1740,0.499625,0.764625,1.97947,0.136327,1.41004,-0.483799
1_1,Constant Potential,1800,0.499634,0.764634,1.90528,0.131218,1.44242,-0.479599
1_1,Constant Potential,1860,0.499655,0.764655,1.82351,0.125586,1.47349,-0.449017
1_1,Constant Potential,1920,0.499696,0.764696,1.81813,0.125215,1.50384,-0.443853
1_1,Constant Potential,1980,0.499713,0.764713,1.81061,0.124698,1.53408,-0.44113
1_1,Constant Potential,2040,0.499627,0.764627,1.84126,0.126809,1.56451,-0.451312
1_1,Constant Potential,2100,0.499581,0.764581,1.90171,0.130972,1.5957,-0.464168
1_1,Constant Potential,2160,0.499625,0.764625,1.82062,0.125387,1.62672,-0.448543
1_1,Constant Potential,2220,0.499783,0.764783,1.75867,0.12112,1.65655,-0.448329
1_1,Constant Potential,2280,0.499739,0.764739,1.7753,0.122266,1.686,-0.451866
1_1,Constant Potential,2340,0.49969,0.76469,1.77408,0.122182,1.71557,-0.447734
1_1,Constant Potential,2400,0.499725,0.764725,1.73409,0.119428,1.74481,-0.44837
1_1,Constant Potential,2460,0.499692,0.764692,1.70111,0.117156,1.77344,-0.443735
1_1,Constant Potential,2520,0.499699,0.764699,1.7958,0.123678,1.80258,-0.457292
1_1,Constant Potential,2581,0.499754,0.764754,1.68703,0.116187,1.83208,-0.446194
1_1,Constant Potential,2641,0.49979,0.76479,1.3592,0.0936091,1.85747,-0.413228
1_1,Constant Potential,2701,0.499714,0.764714,1.67931,0.115655,1.88279,-0.434634
1_1,Constant Potential,2761,0.499671,0.764671,1.70944,0.11773,1.91103,-0.437253
1_1,Constant Potential,2821,0.49971,0.76471,1.70416,0.117367,1.93948,-0.431985
