"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0248,0.699741,0.964741,2.12766,0.146533,0.0354757,-1.17523
1_1,Constant Potential,120.025,0.699759,0.964759,1.66832,0.114898,0.0671088,-1.12648
1_1,Constant Potential,180.025,0.699766,0.964766,1.57281,0.108321,0.0941183,-1.11713
1_1,Constant Potential,240.025,0.699787,0.964787,1.50216,0.103455,0.119743,-1.10863
1_1,Constant Potential,300.025,0.699765,0.964765,1.42652,0.0982454,0.144149,-1.09955
1_1,Constant Potential,360.025,0.699759,0.964759,1.38355,0.0952858,0.167566,-1.09391
1_1,Constant Potential,420.025,0.699746,0.964746,1.35884,0.0935841,0.190419,-1.09105
1_1,Constant Potential,480.025,0.699786,0.964786,1.34028,0.0923057,0.212912,-1.08886
1_1,Constant Potential,540.025,0.699752,0.964752,1.32332,0.091138,0.235109,-1.08673
1_1,Constant Potential,600.025,0.69975,0.96475,1.3631,0.0938774,0.257495,-1.093
1_1,Constant Potential,660.025,0.699753,0.964753,1.28815,0.0887157,0.279589,-1.08301
1_1,Constant Potential,720.025,0.699807,0.964807,1.27462,0.0877835,0.300946,-1.08076
1_1,Constant Potential,780.025,0.699766,0.964766,1.20241,0.0828104,0.321588,-1.07008
1_1,Constant Potential,840.025,0.699775,0.964775,1.20229,0.0828025,0.341627,-1.0698
1_1,Constant Potential,900.025,0.699741,0.964741,1.18075,0.081319,0.361485,-1.06678
1_1,Constant Potential,960.025,0.699763,0.964763,1.16781,0.0804279,0.381057,-1.0653
1_1,Constant Potential,1020.02,0.699737,0.964737,1.15145,0.0793011,0.400384,-1.06228
1_1,Constant Potential,1080.02,0.699793,0.964793,1.13491,0.0781616,0.419437,-1.06011
1_1,Constant Potential,1140.02,0.699789,0.964789,1.12582,0.0775358,0.438276,-1.05869
1_1,Constant Potential,1200.02,0.699768,0.964768,1.10745,0.0762704,0.456887,-1.05601
