"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0001,0.399696,0.664696,2.00913,0.13837,0.0334855,-1.10906
1_1,Constant Potential,120,0.399751,0.664751,1.84788,0.127265,0.0656273,-1.09485
1_1,Constant Potential,180,0.399745,0.664745,1.47699,0.101721,0.0933346,-1.04706
1_1,Constant Potential,240,0.399724,0.664724,1.30778,0.0900673,0.116541,-1.02393
1_1,Constant Potential,300,0.399774,0.664774,1.29183,0.0889687,0.138204,-1.01521
1_1,Constant Potential,360,0.399766,0.664766,1.2826,0.0883331,0.159658,-1.01325
1_1,Constant Potential,420,0.399754,0.664754,1.2444,0.0857027,0.180716,-1.00758
1_1,Constant Potential,480,0.399696,0.664696,1.25135,0.0861811,0.201514,-1.00868
1_1,Constant Potential,540,0.399726,0.664726,1.24349,0.0856399,0.222304,-1.00804
1_1,Constant Potential,600,0.399696,0.664696,1.25935,0.0867318,0.243161,-1.00952
1_1,Constant Potential,660,0.399722,0.664722,1.23525,0.085072,0.26395,-1.00563
1_1,Constant Potential,720,0.399722,0.664722,0.908435,0.0625644,0.281814,-0.951064
1_1,Constant Potential,780,0.399799,0.664799,1.05079,0.0723687,0.298141,-0.970967
1_1,Constant Potential,840,0.399754,0.664754,1.09302,0.0752769,0.316006,-0.979296
1_1,Constant Potential,900,0.399751,0.664751,1.09633,0.0755051,0.33425,-0.981602
1_1,Constant Potential,960,0.399763,0.664763,1.11815,0.0770075,0.352704,-0.985117
1_1,Constant Potential,1020,0.399756,0.664756,1.11214,0.0765936,0.37129,-0.985009
1_1,Constant Potential,1080,0.399761,0.664761,1.1142,0.0767353,0.389843,-0.98559
1_1,Constant Potential,1140,0.399748,0.664748,1.15277,0.0793917,0.408734,-0.992032
1_1,Constant Potential,1200,0.399758,0.664758,1.17124,0.0806642,0.428101,-0.994365
1_1,Constant Potential,1260,0.39978,0.66478,1.16244,0.0800579,0.447548,-0.99419
1_1,Constant Potential,1320,0.399817,0.664817,1.20151,0.0827489,0.467248,-1.00097
1_1,Constant Potential,1380,0.39977,0.66477,1.24444,0.0857055,0.487631,-1.00782
1_1,Constant Potential,1440,0.399742,0.664742,1.26811,0.0873355,0.508569,-1.01275
1_1,Constant Potential,1500,0.39977,0.66477,1.2598,0.0867634,0.529635,-1.0123
1_1,Constant Potential,1560,0.399736,0.664736,1.28865,0.0887503,0.550872,-1.01709
1_1,Constant Potential,1620,0.399727,0.664727,1.17074,0.0806292,0.571367,-1.00283
1_1,Constant Potential,1680,0.399762,0.664762,1.27993,0.0881493,0.591789,-1.01798
1_1,Constant Potential,1740,0.399744,0.664744,1.27401,0.087742,0.613072,-1.01639
1_1,Constant Potential,1800,0.399751,0.664751,1.23767,0.0852389,0.634003,-1.0118
1_1,Constant Potential,1860,0.399727,0.664727,1.26808,0.0873336,0.654884,-1.01586
1_1,Constant Potential,1920,0.399728,0.664728,1.24588,0.0858046,0.675834,-1.01241
1_1,Constant Potential,1980,0.399748,0.664748,1.24307,0.0856112,0.696575,-1.01281
1_1,Constant Potential,2040,0.399762,0.664762,1.27552,0.0878455,0.717563,-1.01739
1_1,Constant Potential,2100,0.399774,0.664774,1.2598,0.0867633,0.738691,-1.01522
1_1,Constant Potential,2160,0.399778,0.664778,1.23131,0.0848006,0.75945,-1.01129
1_1,Constant Potential,2220,0.399776,0.664776,1.21456,0.0836475,0.779832,-1.00776
1_1,Constant Potential,2280,0.399742,0.664742,1.21835,0.0839085,0.800107,-1.00864
1_1,Constant Potential,2340,0.39977,0.66477,1.20908,0.0832699,0.820335,-1.00692
1_1,Constant Potential,2400,0.399741,0.664741,1.19076,0.0820083,0.840334,-1.00415
1_1,Constant Potential,2460,0.399754,0.664754,1.16339,0.0801231,0.859952,-0.999124
1_1,Constant Potential,2520,0.399754,0.664754,1.14522,0.0788721,0.87919,-0.996112
1_1,Constant Potential,2580,0.399743,0.664743,1.12704,0.07762,0.898126,-0.993248
1_1,Constant Potential,2640,0.399747,0.664747,1.09787,0.0756109,0.916667,-0.987499
1_1,Constant Potential,2700,0.399745,0.664745,1.06212,0.0731487,0.934667,-0.980706
1_1,Constant Potential,2760,0.399743,0.664743,1.05474,0.0726402,0.952307,-0.978882
1_1,Constant Potential,2820,0.399705,0.664705,1.04392,0.0718951,0.969796,-0.976786
1_1,Constant Potential,2880,0.399751,0.664751,1.026,0.0706611,0.987045,-0.973593
1_1,Constant Potential,2940,0.399764,0.664764,1.01036,0.0695841,1.00401,-0.970143
1_1,Constant Potential,3000,0.399785,0.664785,0.993507,0.0684234,1.02071,-0.967161
1_1,Constant Potential,3060,0.399781,0.664781,0.969922,0.066799,1.03708,-0.962661
1_1,Constant Potential,3120,0.399773,0.664773,0.960243,0.0661325,1.05316,-0.960593
1_1,Constant Potential,3180,0.399761,0.664761,0.953546,0.0656712,1.06911,-0.958893
1_1,Constant Potential,3240,0.399768,0.664768,0.945775,0.065136,1.08494,-0.957111
1_1,Constant Potential,3300,0.399764,0.664764,0.914746,0.062999,1.10044,-0.951167
1_1,Constant Potential,3360,0.399769,0.664769,0.910906,0.0627346,1.11565,-0.949999
1_1,Constant Potential,3420,0.39976,0.66476,0.906327,0.0624192,1.1308,-0.94888
1_1,Constant Potential,3480,0.399732,0.664732,0.895671,0.0616853,1.14581,-0.94696
1_1,Constant Potential,3540,0.399728,0.664728,0.888419,0.0611859,1.16068,-0.944998
1_1,Constant Potential,3600,0.39976,0.66476,0.880831,0.0606633,1.17543,-0.942735
1_1,Constant Potential,3660,0.399742,0.664742,0.871941,0.060051,1.19003,-0.941487
1_1,Constant Potential,3720,0.399781,0.664781,0.861038,0.0593002,1.20447,-0.939257
1_1,Constant Potential,3780,0.39975,0.66475,0.851886,0.0586698,1.21875,-0.937585
1_1,Constant Potential,3840,0.39979,0.66479,0.845221,0.0582108,1.23289,-0.93629
1_1,Constant Potential,3900,0.399794,0.664794,0.831864,0.0572909,1.24687,-0.933416
1_1,Constant Potential,3960,0.399746,0.664746,0.828815,0.0570809,1.26071,-0.932485
1_1,Constant Potential,4020,0.399737,0.664737,0.822348,0.0566356,1.27447,-0.930881
1_1,Constant Potential,4080,0.399747,0.664747,0.814584,0.0561009,1.28811,-0.929632
1_1,Constant Potential,4140,0.399761,0.664761,0.810843,0.0558432,1.30165,-0.928268
1_1,Constant Potential,4200,0.399741,0.664741,0.805984,0.0555086,1.31512,-0.926853
1_1,Constant Potential,4260,0.39969,0.66469,0.797511,0.054925,1.32849,-0.92554
1_1,Constant Potential,4320,0.399763,0.664763,0.794688,0.0547306,1.34176,-0.924673
1_1,Constant Potential,4380,0.399772,0.664772,0.788992,0.0543383,1.35495,-0.92362
1_1,Constant Potential,4440,0.399732,0.664732,0.783632,0.0539691,1.36806,-0.92244
1_1,Constant Potential,4500,0.39973,0.66473,0.777685,0.0535596,1.38107,-0.921095
1_1,Constant Potential,4560,0.399752,0.664752,0.773445,0.0532676,1.394,-0.919997
1_1,Constant Potential,4620,0.399747,0.664747,0.770474,0.0530629,1.40686,-0.919261
1_1,Constant Potential,4680,0.399771,0.664771,0.765106,0.0526932,1.41966,-0.917869
1_1,Constant Potential,4740,0.399704,0.664704,0.75978,0.0523264,1.43237,-0.916675
1_1,Constant Potential,4800,0.399784,0.664784,0.756273,0.0520849,1.445,-0.915972
1_1,Constant Potential,4860,0.399751,0.664751,0.752212,0.0518052,1.45757,-0.915093
1_1,Constant Potential,4920,0.399785,0.664785,0.747465,0.0514783,1.47007,-0.914078
1_1,Constant Potential,4980,0.399756,0.664756,0.745601,0.0513499,1.48251,-0.913605
1_1,Constant Potential,5040,0.399743,0.664743,0.741204,0.0510471,1.4949,-0.912338
1_1,Constant Potential,5100,0.399754,0.664754,0.736713,0.0507378,1.50722,-0.911197
1_1,Constant Potential,5160,0.399744,0.664744,0.732524,0.0504493,1.51946,-0.910709
1_1,Constant Potential,5220,0.399715,0.664715,0.729797,0.0502615,1.53164,-0.909988
1_1,Constant Potential,5280,0.399725,0.664725,0.727332,0.0500917,1.54379,-0.909229
1_1,Constant Potential,5340,0.399726,0.664726,0.722228,0.0497402,1.55587,-0.908529
1_1,Constant Potential,5400,0.399741,0.664741,0.719106,0.0495252,1.56788,-0.907573
1_1,Constant Potential,5460,0.399746,0.664746,0.71522,0.0492576,1.57983,-0.906775
1_1,Constant Potential,5520,0.399752,0.664752,0.711676,0.0490135,1.59172,-0.905741
1_1,Constant Potential,5580,0.399745,0.664745,0.709189,0.0488422,1.60356,-0.905326
1_1,Constant Potential,5640,0.399764,0.664764,0.706955,0.0486883,1.61536,-0.904354
1_1,Constant Potential,5700,0.399744,0.664744,0.70254,0.0483843,1.62711,-0.903892
1_1,Constant Potential,5760,0.399711,0.664711,0.700688,0.0482568,1.6388,-0.903202
1_1,Constant Potential,5820,0.399767,0.664767,0.699542,0.0481778,1.65047,-0.902641
1_1,Constant Potential,5880,0.39977,0.66477,0.696019,0.0479352,1.6621,-0.901934
1_1,Constant Potential,5940,0.39973,0.66473,0.692408,0.0476865,1.67367,-0.901173
1_1,Constant Potential,6000,0.399784,0.664784,0.687898,0.0473759,1.68517,-0.900484
1_1,Constant Potential,6060,0.399725,0.664725,0.687462,0.0473459,1.69664,-0.900363
1_1,Constant Potential,6120,0.399732,0.664732,0.685801,0.0472315,1.70808,-0.899541
1_1,Constant Potential,6180,0.399769,0.664769,0.67811,0.0467018,1.71945,-0.897919
1_1,Constant Potential,6240,0.399759,0.664759,0.67403,0.0464208,1.73071,-0.897604
1_1,Constant Potential,6300,0.399735,0.664735,0.672943,0.0463459,1.74194,-0.896764
1_1,Constant Potential,6360,0.399763,0.664763,0.67183,0.0462693,1.75314,-0.8964
1_1,Constant Potential,6420,0.399817,0.664817,0.67145,0.0462431,1.76434,-0.8963
1_1,Constant Potential,6480,0.399766,0.664766,0.667516,0.0459722,1.7755,-0.895538
1_1,Constant Potential,6540,0.399744,0.664744,0.666636,0.0459116,1.78661,-0.895301
1_1,Constant Potential,6600,0.399775,0.664775,0.664261,0.045748,1.79771,-0.895009
1_1,Constant Potential,6660,0.399818,0.664818,0.661763,0.045576,1.80876,-0.89424
1_1,Constant Potential,6720,0.399737,0.664737,0.65938,0.0454119,1.81976,-0.893545
1_1,Constant Potential,6780,0.399746,0.664746,0.657503,0.0452825,1.83074,-0.893368
1_1,Constant Potential,6840,0.399745,0.664745,0.656619,0.0452217,1.84169,-0.892526
1_1,Constant Potential,6900,0.399783,0.664783,0.65442,0.0450703,1.85262,-0.892459
1_1,Constant Potential,6960,0.399748,0.664748,0.651752,0.0448865,1.8635,-0.891704
1_1,Constant Potential,7020,0.39975,0.66475,0.651407,0.0448627,1.87436,-0.891523
1_1,Constant Potential,7080,0.399745,0.664745,0.64958,0.0447369,1.8852,-0.891116
1_1,Constant Potential,7140,0.399775,0.664775,0.646817,0.0445466,1.896,-0.890414
1_1,Constant Potential,7200,0.399794,0.664794,0.643809,0.0443395,1.90676,-0.889963
1_1,Constant Potential,7260,0.399748,0.664748,0.641949,0.0442114,1.91747,-0.889588
1_1,Constant Potential,7320,0.399768,0.664768,0.641307,0.0441671,1.92817,-0.889348
1_1,Constant Potential,7380,0.399757,0.664757,0.639634,0.0440519,1.93884,-0.888905
1_1,Constant Potential,7440,0.399721,0.664721,0.636624,0.0438447,1.94948,-0.888481
1_1,Constant Potential,7500,0.399742,0.664742,0.637454,0.0439018,1.9601,-0.888619
1_1,Constant Potential,7560,0.39975,0.66475,0.634459,0.0436955,1.97069,-0.887701
1_1,Constant Potential,7620,0.39971,0.66471,0.63355,0.0436329,1.98126,-0.887676
1_1,Constant Potential,7680,0.399775,0.664775,0.631422,0.0434864,1.9918,-0.886994
1_1,Constant Potential,7740,0.399795,0.664795,0.627913,0.0432447,2.0023,-0.886337
1_1,Constant Potential,7800,0.399772,0.664772,0.62804,0.0432534,2.01276,-0.88601
1_1,Constant Potential,7860,0.399764,0.664764,0.626537,0.04315,2.02322,-0.885978
1_1,Constant Potential,7920,0.399724,0.664724,0.623431,0.042936,2.03363,-0.885487
1_1,Constant Potential,7980,0.39975,0.66475,0.606226,0.0417511,2.04388,-0.881229
1_1,Constant Potential,8040,0.39977,0.66477,0.614049,0.0422899,2.05405,-0.88274
1_1,Constant Potential,8100,0.399725,0.664725,0.616355,0.0424487,2.0643,-0.883261
1_1,Constant Potential,8160,0.399765,0.664765,0.611001,0.04208,2.07453,-0.882192
1_1,Constant Potential,8220,0.39978,0.66478,0.606605,0.0417772,2.08468,-0.881555
1_1,Constant Potential,8280,0.399775,0.664775,0.60918,0.0419546,2.09481,-0.881567
1_1,Constant Potential,8340,0.399737,0.664737,0.606784,0.0417895,2.10494,-0.88151
1_1,Constant Potential,8400,0.39974,0.66474,0.605943,0.0417316,2.11505,-0.88101
1_1,Constant Potential,8460,0.39973,0.66473,0.602967,0.0415266,2.12512,-0.880628
1_1,Constant Potential,8520,0.399734,0.664734,0.606863,0.041795,2.13521,-0.880855
1_1,Constant Potential,8580,0.399756,0.664756,0.602879,0.0415206,2.14529,-0.880419
1_1,Constant Potential,8640,0.399754,0.664754,0.602443,0.0414906,2.15533,-0.879786
1_1,Constant Potential,8700,0.399731,0.664731,0.595906,0.0410404,2.16532,-0.87898
1_1,Constant Potential,8760,0.399766,0.664766,0.598256,0.0412022,2.17527,-0.879244
1_1,Constant Potential,8820,0.39974,0.66474,0.599752,0.0413052,2.18525,-0.879111
1_1,Constant Potential,8880,0.399743,0.664743,0.595846,0.0410363,2.19522,-0.878897
1_1,Constant Potential,8940,0.399725,0.664725,0.596915,0.0411098,2.20516,-0.878536
1_1,Constant Potential,9000,0.399733,0.664733,0.594495,0.0409432,2.21508,-0.878157
1_1,Constant Potential,9060,0.39975,0.66475,0.591508,0.0407375,2.22497,-0.877661
1_1,Constant Potential,9120,0.399782,0.664782,0.590323,0.0406558,2.23482,-0.877313
1_1,Constant Potential,9180,0.399729,0.664729,0.589544,0.0406022,2.24465,-0.877132
1_1,Constant Potential,9240,0.399779,0.664779,0.587415,0.0404556,2.25446,-0.876678
1_1,Constant Potential,9300,0.39976,0.66476,0.588629,0.0405392,2.26426,-0.876629
1_1,Constant Potential,9360,0.399765,0.664765,0.586266,0.0403765,2.27405,-0.87654
1_1,Constant Potential,9420,0.399758,0.664758,0.58686,0.0404174,2.28382,-0.876275
1_1,Constant Potential,9480,0.399786,0.664786,0.58462,0.0402631,2.29359,-0.876139
1_1,Constant Potential,9540,0.399767,0.664767,0.584775,0.0402737,2.30333,-0.876108
1_1,Constant Potential,9600,0.399785,0.664785,0.58488,0.040281,2.31308,-0.875841
1_1,Constant Potential,9660,0.399734,0.664734,0.582172,0.0400945,2.3228,-0.875337
1_1,Constant Potential,9720,0.399716,0.664716,0.579324,0.0398983,2.33248,-0.87508
1_1,Constant Potential,9780,0.399715,0.664715,0.578255,0.0398247,2.34213,-0.874789
1_1,Constant Potential,9840,0.399748,0.664748,0.577802,0.0397935,2.35176,-0.874542
1_1,Constant Potential,9900,0.39978,0.66478,0.578464,0.0398391,2.3614,-0.874442
1_1,Constant Potential,9960,0.399734,0.664734,0.57585,0.0396591,2.37102,-0.874067
1_1,Constant Potential,10020,0.399757,0.664757,0.575684,0.0396477,2.38061,-0.873849
1_1,Constant Potential,10080,0.399748,0.664748,0.57093,0.0393202,2.39017,-0.87317
1_1,Constant Potential,10140,0.399739,0.664739,0.573324,0.0394851,2.3997,-0.873298
1_1,Constant Potential,10200,0.39975,0.66475,0.573268,0.0394813,2.40926,-0.873263
1_1,Constant Potential,10260,0.399707,0.664707,0.56591,0.0389745,2.41875,-0.871628
1_1,Constant Potential,10320,0.399705,0.664705,0.567688,0.039097,2.4282,-0.87217
1_1,Constant Potential,10380,0.399719,0.664719,0.565675,0.0389583,2.43764,-0.872156
1_1,Constant Potential,10440,0.399757,0.664757,0.567398,0.039077,2.44709,-0.871842
1_1,Constant Potential,10500,0.399759,0.664759,0.564869,0.0389028,2.45652,-0.871412
1_1,Constant Potential,10560,0.39971,0.66471,0.564095,0.0388495,2.46593,-0.871059
1_1,Constant Potential,10620,0.399742,0.664742,0.562748,0.0387567,2.47532,-0.871013
1_1,Constant Potential,10680,0.399772,0.664772,0.559852,0.0385573,2.48467,-0.87021
1_1,Constant Potential,10740,0.399725,0.664725,0.560099,0.0385743,2.49401,-0.870053
1_1,Constant Potential,10800,0.399767,0.664767,0.561174,0.0386483,2.50335,-0.87036
1_1,Constant Potential,10860,0.399785,0.664785,0.56055,0.0386054,2.5127,-0.870153
1_1,Constant Potential,10920,0.399778,0.664778,0.561241,0.038653,2.52205,-0.870013
1_1,Constant Potential,10980,0.399771,0.664771,0.55796,0.038427,2.53137,-0.869524
1_1,Constant Potential,11040,0.39973,0.66473,0.55622,0.0383072,2.54066,-0.869268
1_1,Constant Potential,11100,0.399763,0.664763,0.554673,0.0382006,2.54992,-0.869188
1_1,Constant Potential,11160,0.399772,0.664772,0.557367,0.0383861,2.55918,-0.869368
1_1,Constant Potential,11220,0.399736,0.664736,0.553168,0.038097,2.56844,-0.868997
1_1,Constant Potential,11280,0.399757,0.664757,0.551113,0.0379554,2.57764,-0.868267
