"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0003,0.800356,1.06536,2.37415,0.163509,0.0395693,-0.728861
1_1,Constant Potential,120,0.800386,1.06539,2.12953,0.146662,0.0771,-0.709856
1_1,Constant Potential,180,0.80039,1.06539,2.06125,0.14196,0.112023,-0.702182
1_1,Constant Potential,240,0.800367,1.06537,2.00361,0.13799,0.145897,-0.693167
1_1,Constant Potential,300,0.800362,1.06536,1.9467,0.13407,0.178816,-0.681504
1_1,Constant Potential,360,0.800359,1.06536,1.80986,0.124646,0.210121,-0.664225
1_1,Constant Potential,420,0.800432,1.06543,1.84024,0.126738,0.240538,-0.665168
1_1,Constant Potential,480,0.800389,1.06539,1.81657,0.125108,0.271012,-0.660089
1_1,Constant Potential,540,0.800412,1.06541,1.78435,0.122889,0.301019,-0.655042
1_1,Constant Potential,600,0.800381,1.06538,1.6438,0.11321,0.329587,-0.638865
1_1,Constant Potential,660,0.800393,1.06539,1.62066,0.111616,0.356791,-0.633412
1_1,Constant Potential,720,0.800398,1.0654,1.61839,0.111459,0.383783,-0.633262
1_1,Constant Potential,780,0.800373,1.06537,1.59395,0.109776,0.410553,-0.628067
1_1,Constant Potential,840,0.800416,1.06542,1.56772,0.10797,0.4369,-0.624704
1_1,Constant Potential,900,0.800425,1.06543,1.55864,0.107344,0.462953,-0.621493
1_1,Constant Potential,960,0.800456,1.06546,1.51615,0.104418,0.488576,-0.616193
1_1,Constant Potential,1020,0.800428,1.06543,1.51249,0.104166,0.513815,-0.615207
1_1,Constant Potential,1080,0.800409,1.06541,1.46571,0.100944,0.538633,-0.610011
1_1,Constant Potential,1140,0.800444,1.06544,1.4429,0.0993732,0.562871,-0.605254
1_1,Constant Potential,1200,0.800411,1.06541,1.43637,0.0989236,0.586865,-0.603295
1_1,Constant Potential,1260,0.800399,1.0654,1.39387,0.0959969,0.610451,-0.597425
1_1,Constant Potential,1320,0.800416,1.06542,1.38811,0.0955997,0.633634,-0.59492
1_1,Constant Potential,1380,0.800444,1.06544,1.36672,0.0941266,0.656591,-0.591833
1_1,Constant Potential,1440,0.800435,1.06544,1.33328,0.0918239,0.679091,-0.585549
1_1,Constant Potential,1500,0.800397,1.0654,1.3202,0.0909231,0.701203,-0.583669
1_1,Constant Potential,1560,0.800393,1.06539,1.27732,0.0879697,0.722849,-0.577305
1_1,Constant Potential,1620,0.800428,1.06543,1.28375,0.0884123,0.744191,-0.576847
1_1,Constant Potential,1680,0.800421,1.06542,1.24837,0.0859757,0.765292,-0.570305
1_1,Constant Potential,1740,0.800451,1.06545,1.22498,0.0843651,0.785904,-0.56665
1_1,Constant Potential,1800,0.800396,1.0654,1.21183,0.083459,0.80621,-0.564215
1_1,Constant Potential,1860,0.800432,1.06543,1.18038,0.0812932,0.826145,-0.558873
1_1,Constant Potential,1920,0.800484,1.06548,1.17572,0.0809725,0.84578,-0.558853
1_1,Constant Potential,1980,0.800402,1.0654,1.14013,0.0785213,0.865078,-0.551456
1_1,Constant Potential,2040,0.800438,1.06544,1.12253,0.077309,0.883934,-0.54754
1_1,Constant Potential,2100,0.800442,1.06544,1.0846,0.074697,0.902327,-0.540852
1_1,Constant Potential,2160,0.80042,1.06542,1.06544,0.0733774,0.920244,-0.535895
1_1,Constant Potential,2220,0.800414,1.06541,1.05144,0.0724132,0.937884,-0.533594
1_1,Constant Potential,2280,0.800433,1.06543,1.04151,0.0717294,0.955325,-0.529631
1_1,Constant Potential,2340,0.800408,1.06541,1.02755,0.0707678,0.972568,-0.527189
1_1,Constant Potential,2400,0.800363,1.06536,1.02047,0.0702802,0.989634,-0.526435
1_1,Constant Potential,2460,0.800405,1.06541,0.997952,0.0687295,1.00645,-0.520571
1_1,Constant Potential,2520,0.800402,1.0654,0.997552,0.0687019,1.02308,-0.520285
1_1,Constant Potential,2580,0.800371,1.06537,0.979364,0.0674493,1.03956,-0.516253
1_1,Constant Potential,2640,0.800424,1.06542,0.957755,0.0659611,1.0557,-0.512394
1_1,Constant Potential,2700,0.800411,1.06541,0.956743,0.0658914,1.07165,-0.511527
1_1,Constant Potential,2760,0.800392,1.06539,0.938403,0.0646283,1.08745,-0.506093
1_1,Constant Potential,2820,0.800385,1.06538,0.938058,0.0646045,1.10308,-0.506465
1_1,Constant Potential,2880,0.800402,1.0654,0.921705,0.0634783,1.11858,-0.502002
1_1,Constant Potential,2940,0.800394,1.06539,0.912126,0.0628186,1.13386,-0.499809
1_1,Constant Potential,3000,0.800424,1.06542,0.906274,0.0624156,1.14902,-0.498579
1_1,Constant Potential,3060,0.800376,1.06538,0.884922,0.060945,1.16394,-0.49424
1_1,Constant Potential,3120,0.800382,1.06538,0.890311,0.0613162,1.17874,-0.494368
1_1,Constant Potential,3180,0.80039,1.06539,0.879222,0.0605525,1.19348,-0.49161
1_1,Constant Potential,3240,0.800386,1.06539,0.864545,0.0595417,1.20802,-0.49027
1_1,Constant Potential,3300,0.800389,1.06539,0.866262,0.0596599,1.22244,-0.48875
1_1,Constant Potential,3360,0.800419,1.06542,0.850919,0.0586032,1.23675,-0.485258
1_1,Constant Potential,3420,0.800408,1.06541,0.85375,0.0587982,1.25095,-0.486257
1_1,Constant Potential,3480,0.800386,1.06539,0.847612,0.0583755,1.26513,-0.483863
1_1,Constant Potential,3540,0.800401,1.0654,0.836939,0.0576404,1.27917,-0.481245
1_1,Constant Potential,3600,0.800411,1.06541,0.831248,0.0572485,1.29307,-0.480031
1_1,Constant Potential,3660,0.800426,1.06543,0.820513,0.0565092,1.30684,-0.477602
1_1,Constant Potential,3720,0.80042,1.06542,0.823544,0.0567179,1.32054,-0.477619
1_1,Constant Potential,3780,0.800392,1.06539,0.819418,0.0564337,1.33423,-0.476452
1_1,Constant Potential,3840,0.800435,1.06544,0.807251,0.0555958,1.34778,-0.474844
1_1,Constant Potential,3900,0.800422,1.06542,0.811144,0.0558639,1.36127,-0.473224
1_1,Constant Potential,3960,0.800428,1.06543,0.798378,0.0549847,1.37468,-0.471141
1_1,Constant Potential,4020,0.800442,1.06544,0.795742,0.0548032,1.38797,-0.470979
1_1,Constant Potential,4080,0.800431,1.06543,0.796438,0.0548511,1.40124,-0.47025
1_1,Constant Potential,4140,0.800415,1.06541,0.787375,0.0542269,1.41443,-0.469413
1_1,Constant Potential,4200,0.800422,1.06542,0.790821,0.0544643,1.42759,-0.469083
1_1,Constant Potential,4260,0.800411,1.06541,0.776536,0.0534804,1.44065,-0.465869
1_1,Constant Potential,4320,0.800408,1.06541,0.776449,0.0534745,1.45359,-0.465394
1_1,Constant Potential,4380,0.80039,1.06539,0.768951,0.0529581,1.46647,-0.463709
1_1,Constant Potential,4440,0.800418,1.06542,0.759143,0.0522826,1.4792,-0.461799
1_1,Constant Potential,4500,0.800389,1.06539,0.764848,0.0526755,1.4919,-0.462696
1_1,Constant Potential,4560,0.800399,1.0654,0.75818,0.0522163,1.50459,-0.461676
1_1,Constant Potential,4620,0.800412,1.06541,0.756686,0.0521133,1.51722,-0.460517
1_1,Constant Potential,4680,0.800405,1.0654,0.752483,0.0518239,1.52979,-0.459396
1_1,Constant Potential,4740,0.800378,1.06538,0.744214,0.0512544,1.54227,-0.458163
1_1,Constant Potential,4800,0.800407,1.06541,0.750927,0.0517167,1.55473,-0.45964
1_1,Constant Potential,4860,0.800362,1.06536,0.733322,0.0505043,1.56709,-0.455191
1_1,Constant Potential,4920,0.800405,1.06541,0.742124,0.0511105,1.57939,-0.45648
1_1,Constant Potential,4980,0.800364,1.06536,0.737607,0.0507993,1.59172,-0.455885
1_1,Constant Potential,5040,0.800408,1.06541,0.727696,0.0501168,1.60393,-0.453575
1_1,Constant Potential,5100,0.800403,1.0654,0.733556,0.0505204,1.61611,-0.454218
1_1,Constant Potential,5160,0.800416,1.06542,0.723074,0.0497985,1.62825,-0.451521
1_1,Constant Potential,5220,0.800412,1.06541,0.726209,0.0500144,1.64032,-0.452551
1_1,Constant Potential,5280,0.800392,1.06539,0.724265,0.0498805,1.65241,-0.452532
1_1,Constant Potential,5340,0.800395,1.06539,0.717217,0.0493951,1.66442,-0.450062
1_1,Constant Potential,5400,0.800416,1.06542,0.716439,0.0493416,1.67637,-0.450555
1_1,Constant Potential,5460,0.800426,1.06543,0.711948,0.0490322,1.68827,-0.44896
1_1,Constant Potential,5520,0.800386,1.06539,0.708911,0.0488231,1.70012,-0.448239
1_1,Constant Potential,5580,0.800398,1.0654,0.708498,0.0487946,1.71193,-0.447776
1_1,Constant Potential,5640,0.800421,1.06542,0.701494,0.0483123,1.72368,-0.447811
1_1,Constant Potential,5700,0.800384,1.06538,0.707221,0.0487067,1.73542,-0.447492
1_1,Constant Potential,5760,0.800378,1.06538,0.698841,0.0481296,1.74713,-0.4458
1_1,Constant Potential,5820,0.800384,1.06538,0.697208,0.0480171,1.75877,-0.445553
1_1,Constant Potential,5880,0.800416,1.06542,0.69621,0.0479483,1.77038,-0.444714
1_1,Constant Potential,5940,0.800421,1.06542,0.688799,0.047438,1.78192,-0.443962
1_1,Constant Potential,6000,0.800405,1.06541,0.692199,0.0476721,1.79343,-0.443883
1_1,Constant Potential,6060,0.800378,1.06538,0.688392,0.0474099,1.80493,-0.443303
1_1,Constant Potential,6120,0.800376,1.06538,0.688172,0.0473948,1.81641,-0.442807
1_1,Constant Potential,6180,0.800425,1.06542,0.68815,0.0473933,1.82787,-0.442543
1_1,Constant Potential,6240,0.800357,1.06536,0.677032,0.0466276,1.83925,-0.440888
1_1,Constant Potential,6300,0.800387,1.06539,0.683469,0.0470709,1.85059,-0.441235
1_1,Constant Potential,6360,0.800413,1.06541,0.681794,0.0469555,1.86197,-0.440805
1_1,Constant Potential,6420,0.800407,1.06541,0.677612,0.0466675,1.87329,-0.440427
1_1,Constant Potential,6480,0.800366,1.06537,0.676222,0.0465718,1.88458,-0.43992
1_1,Constant Potential,6540,0.800405,1.0654,0.667945,0.0460017,1.89578,-0.437753
1_1,Constant Potential,6600,0.80037,1.06537,0.67373,0.0464001,1.90696,-0.439178
1_1,Constant Potential,6660,0.800373,1.06537,0.668243,0.0460223,1.91814,-0.438051
1_1,Constant Potential,6720,0.800414,1.06541,0.666844,0.0459259,1.92927,-0.437762
1_1,Constant Potential,6780,0.800419,1.06542,0.667406,0.0459646,1.94039,-0.437311
1_1,Constant Potential,6840,0.800373,1.06537,0.662305,0.0456133,1.95147,-0.436008
1_1,Constant Potential,6900,0.800373,1.06537,0.666494,0.0459018,1.96254,-0.436324
