"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0001,0.79976,1.06476,4.99017,0.343675,0.0831696,-1.7265
1_1,Constant Potential,120,0.799715,1.06472,3.79331,0.261247,0.156365,-1.56769
1_1,Constant Potential,180,0.799799,1.0648,3.22702,0.222247,0.214868,-1.48731
1_1,Constant Potential,240,0.799796,1.0648,2.87441,0.197962,0.265713,-1.43526
1_1,Constant Potential,300,0.799768,1.06477,2.59618,0.1788,0.311301,-1.39475
1_1,Constant Potential,360,0.799795,1.06479,2.39162,0.164712,0.352866,-1.35751
1_1,Constant Potential,420,0.799748,1.06475,2.23975,0.154253,0.391461,-1.33441
1_1,Constant Potential,480,0.799737,1.06474,2.09638,0.144379,0.427595,-1.31116
1_1,Constant Potential,540,0.799729,1.06473,1.98421,0.136653,0.4616,-1.29284
1_1,Constant Potential,600,0.799701,1.0647,1.8812,0.129559,0.493812,-1.27427
1_1,Constant Potential,660,0.799704,1.0647,1.78909,0.123215,0.524398,-1.25773
1_1,Constant Potential,720,0.799685,1.06468,1.71345,0.118006,0.553586,-1.24314
1_1,Constant Potential,780,0.799698,1.0647,1.61517,0.111238,0.581324,-1.22599
1_1,Constant Potential,840,0.799726,1.06473,1.55198,0.106886,0.607717,-1.21361
1_1,Constant Potential,900,0.799734,1.06473,1.4972,0.103113,0.633127,-1.20234
1_1,Constant Potential,960,0.799732,1.06473,1.40907,0.0970437,0.657346,-1.18541
1_1,Constant Potential,1020,0.799724,1.06472,1.35592,0.0933829,0.680388,-1.17486
1_1,Constant Potential,1080,0.799726,1.06473,1.30711,0.0900212,0.702579,-1.16494
1_1,Constant Potential,1140,0.799716,1.06472,1.2486,0.0859915,0.723877,-1.15223
1_1,Constant Potential,1200,0.799739,1.06474,1.19359,0.0822033,0.744229,-1.14021
1_1,Constant Potential,1260,0.799719,1.06472,1.14448,0.078821,0.763712,-1.12935
1_1,Constant Potential,1320,0.799719,1.06472,1.10525,0.076119,0.78246,-1.11974
1_1,Constant Potential,1380,0.799754,1.06475,1.06353,0.0732462,0.800533,-1.1109
1_1,Constant Potential,1440,0.799767,1.06477,1.01922,0.0701942,0.81789,-1.10036
1_1,Constant Potential,1500,0.799703,1.0647,0.98521,0.067852,0.834593,-1.09176
1_1,Constant Potential,1560,0.799748,1.06475,0.952087,0.0655707,0.850737,-1.08482
1_1,Constant Potential,1620,0.799746,1.06475,0.930702,0.0640979,0.866427,-1.07779
1_1,Constant Potential,1680,0.799719,1.06472,0.891527,0.0614,0.881613,-1.06932
1_1,Constant Potential,1740,0.799694,1.06469,0.862318,0.0593883,0.896228,-1.06234
1_1,Constant Potential,1800,0.799717,1.06472,0.843925,0.0581216,0.910447,-1.05769
1_1,Constant Potential,1860,0.799725,1.06472,0.819749,0.0564565,0.924311,-1.05186
1_1,Constant Potential,1920,0.799704,1.0647,0.795477,0.0547849,0.937771,-1.04626
1_1,Constant Potential,1980,0.799741,1.06474,0.770419,0.0530591,0.95082,-1.03995
1_1,Constant Potential,2040,0.799699,1.0647,0.754244,0.0519452,0.963525,-1.03517
1_1,Constant Potential,2100,0.799736,1.06474,0.7389,0.0508884,0.975968,-1.0309
1_1,Constant Potential,2160,0.799695,1.06469,0.71343,0.0491343,0.988071,-1.02534
1_1,Constant Potential,2220,0.799687,1.06469,0.699642,0.0481847,0.999847,-1.02129
1_1,Constant Potential,2280,0.799672,1.06467,0.685083,0.047182,1.01139,-1.0176
1_1,Constant Potential,2340,0.79972,1.06472,0.669413,0.0461028,1.02267,-1.01366
1_1,Constant Potential,2400,0.7997,1.0647,0.657797,0.0453028,1.03373,-1.0106
1_1,Constant Potential,2460,0.799696,1.0647,0.643815,0.0443399,1.04458,-1.00701
1_1,Constant Potential,2520,0.799709,1.06471,0.629997,0.0433882,1.0552,-1.00352
1_1,Constant Potential,2580,0.799751,1.06475,0.620676,0.0427463,1.06562,-1.00083
1_1,Constant Potential,2640,0.799735,1.06473,0.610155,0.0420217,1.07587,-0.998567
1_1,Constant Potential,2700,0.799761,1.06476,0.599443,0.041284,1.08595,-0.995737
1_1,Constant Potential,2760,0.799695,1.06469,0.589182,0.0405773,1.09586,-0.993289
1_1,Constant Potential,2820,0.799723,1.06472,0.580035,0.0399473,1.1056,-0.991201
1_1,Constant Potential,2880,0.799707,1.06471,0.567365,0.0390747,1.11516,-0.988036
1_1,Constant Potential,2940,0.799732,1.06473,0.561627,0.0386796,1.12457,-0.986736
1_1,Constant Potential,3000,0.799737,1.06474,0.554427,0.0381837,1.13387,-0.984738
1_1,Constant Potential,3060,0.799727,1.06473,0.548295,0.0377614,1.14306,-0.983042
1_1,Constant Potential,3120,0.799707,1.06471,0.542793,0.0373825,1.15216,-0.981528
1_1,Constant Potential,3180,0.799718,1.06472,0.535956,0.0369115,1.16114,-0.979844
1_1,Constant Potential,3240,0.799703,1.0647,0.527833,0.0363521,1.17001,-0.978123
1_1,Constant Potential,3300,0.799682,1.06468,0.523886,0.0360803,1.17877,-0.977104
1_1,Constant Potential,3360,0.799677,1.06468,0.517405,0.035634,1.18745,-0.975691
1_1,Constant Potential,3420,0.799726,1.06473,0.5134,0.0353582,1.19604,-0.974679
1_1,Constant Potential,3480,0.799732,1.06473,0.506751,0.0349002,1.20454,-0.972993
1_1,Constant Potential,3540,0.799772,1.06477,0.501721,0.0345538,1.21295,-0.971861
1_1,Constant Potential,3600,0.79971,1.06471,0.496583,0.0341999,1.22127,-0.970338
1_1,Constant Potential,3660,0.799736,1.06474,0.493722,0.0340029,1.22952,-0.969572
1_1,Constant Potential,3720,0.799758,1.06476,0.490478,0.0337795,1.23772,-0.969032
1_1,Constant Potential,3780,0.799723,1.06472,0.486261,0.033489,1.24586,-0.967778
1_1,Constant Potential,3840,0.799715,1.06471,0.480342,0.0330814,1.25391,-0.966584
1_1,Constant Potential,3900,0.799706,1.06471,0.476032,0.0327846,1.26188,-0.965753
1_1,Constant Potential,3960,0.799712,1.06471,0.472284,0.0325265,1.26979,-0.96483
1_1,Constant Potential,4020,0.799674,1.06467,0.46617,0.0321054,1.27761,-0.963982
1_1,Constant Potential,4080,0.79968,1.06468,0.464917,0.0320191,1.28537,-0.963358
1_1,Constant Potential,4140,0.799725,1.06473,0.460068,0.0316851,1.29307,-0.962334
1_1,Constant Potential,4200,0.799695,1.0647,0.457898,0.0315357,1.30072,-0.961918
1_1,Constant Potential,4260,0.799703,1.0647,0.454781,0.031321,1.30833,-0.960924
1_1,Constant Potential,4320,0.799685,1.06469,0.452996,0.031198,1.3159,-0.960717
1_1,Constant Potential,4380,0.799711,1.06471,0.447012,0.030786,1.3234,-0.959657
1_1,Constant Potential,4440,0.799707,1.06471,0.44511,0.030655,1.33083,-0.959038
1_1,Constant Potential,4500,0.799681,1.06468,0.441259,0.0303897,1.33822,-0.9582
1_1,Constant Potential,4560,0.79971,1.06471,0.439175,0.0302462,1.34555,-0.957521
1_1,Constant Potential,4620,0.799685,1.06469,0.437179,0.0301088,1.35286,-0.957098
1_1,Constant Potential,4680,0.799732,1.06473,0.433434,0.0298508,1.36011,-0.956614
1_1,Constant Potential,4740,0.799683,1.06468,0.431325,0.0297056,1.36732,-0.955931
1_1,Constant Potential,4800,0.799731,1.06473,0.429465,0.0295775,1.37449,-0.955383
1_1,Constant Potential,4860,0.799725,1.06472,0.427991,0.029476,1.38164,-0.954996
1_1,Constant Potential,4920,0.799755,1.06476,0.425711,0.0293189,1.38875,-0.95457
1_1,Constant Potential,4980,0.799699,1.0647,0.423205,0.0291464,1.39582,-0.95406
1_1,Constant Potential,5040,0.799733,1.06473,0.42107,0.0289993,1.40286,-0.953732
1_1,Constant Potential,5100,0.799714,1.06471,0.418132,0.028797,1.40985,-0.953113
1_1,Constant Potential,5160,0.799761,1.06476,0.414923,0.0285759,1.4168,-0.952432
1_1,Constant Potential,5220,0.799708,1.06471,0.413053,0.0284472,1.4237,-0.951913
1_1,Constant Potential,5280,0.799657,1.06466,0.41154,0.028343,1.43057,-0.951734
1_1,Constant Potential,5340,0.799691,1.06469,0.408141,0.0281089,1.4374,-0.951178
1_1,Constant Potential,5400,0.799684,1.06468,0.408683,0.0281462,1.4442,-0.95103
1_1,Constant Potential,5460,0.799712,1.06471,0.404641,0.0278679,1.45098,-0.950081
1_1,Constant Potential,5520,0.799653,1.06465,0.403746,0.0278062,1.45772,-0.950017
1_1,Constant Potential,5580,0.799708,1.06471,0.401941,0.0276819,1.46443,-0.949543
1_1,Constant Potential,5640,0.799717,1.06472,0.400475,0.0275809,1.47112,-0.949452
1_1,Constant Potential,5700,0.799707,1.06471,0.39984,0.0275372,1.47779,-0.94929
1_1,Constant Potential,5760,0.799702,1.0647,0.397029,0.0273436,1.48443,-0.948623
1_1,Constant Potential,5820,0.799726,1.06473,0.393768,0.027119,1.49102,-0.947903
1_1,Constant Potential,5880,0.799729,1.06473,0.393198,0.0270797,1.49758,-0.947943
1_1,Constant Potential,5940,0.79974,1.06474,0.390771,0.0269126,1.50411,-0.94727
1_1,Constant Potential,6000,0.799755,1.06476,0.390381,0.0268857,1.51062,-0.94699
1_1,Constant Potential,6060,0.799717,1.06472,0.389862,0.02685,1.51712,-0.947054
1_1,Constant Potential,6120,0.799715,1.06472,0.389073,0.0267957,1.52361,-0.946776
1_1,Constant Potential,6180,0.799723,1.06472,0.385525,0.0265513,1.53007,-0.946172
1_1,Constant Potential,6240,0.799713,1.06471,0.382968,0.0263752,1.53647,-0.945586
1_1,Constant Potential,6300,0.799743,1.06474,0.383484,0.0264107,1.54286,-0.945951
1_1,Constant Potential,6360,0.799757,1.06476,0.381878,0.0263001,1.54924,-0.945237
1_1,Constant Potential,6420,0.799725,1.06472,0.379706,0.0261505,1.55558,-0.945102
1_1,Constant Potential,6480,0.799707,1.06471,0.379029,0.0261039,1.56191,-0.94476
1_1,Constant Potential,6540,0.799713,1.06471,0.376823,0.025952,1.56821,-0.944557
1_1,Constant Potential,6600,0.799719,1.06472,0.375522,0.0258624,1.57448,-0.944186
1_1,Constant Potential,6660,0.799747,1.06475,0.374744,0.0258088,1.58073,-0.943807
1_1,Constant Potential,6720,0.799728,1.06473,0.372049,0.0256232,1.58695,-0.943614
1_1,Constant Potential,6780,0.799789,1.06479,0.371235,0.0255671,1.59314,-0.943346
1_1,Constant Potential,6840,0.799746,1.06475,0.369806,0.0254687,1.59932,-0.94287
1_1,Constant Potential,6900,0.799726,1.06473,0.369158,0.0254241,1.60548,-0.943024
1_1,Constant Potential,6960,0.799724,1.06472,0.368011,0.0253451,1.61162,-0.942686
1_1,Constant Potential,7020,0.799782,1.06478,0.36734,0.0252989,1.61775,-0.942453
1_1,Constant Potential,7080,0.799757,1.06476,0.365877,0.0251981,1.62386,-0.942254
1_1,Constant Potential,7140,0.799735,1.06473,0.364808,0.0251245,1.62995,-0.941905
1_1,Constant Potential,7200,0.79972,1.06472,0.363399,0.0250275,1.63602,-0.941793
1_1,Constant Potential,7260,0.799719,1.06472,0.36357,0.0250392,1.64207,-0.941697
1_1,Constant Potential,7320,0.799733,1.06473,0.361753,0.0249141,1.64812,-0.941363
1_1,Constant Potential,7380,0.799753,1.06475,0.360283,0.0248129,1.65414,-0.941078
1_1,Constant Potential,7440,0.79974,1.06474,0.358122,0.024664,1.66012,-0.940722
1_1,Constant Potential,7500,0.799729,1.06473,0.358525,0.0246918,1.66609,-0.940926
1_1,Constant Potential,7560,0.799728,1.06473,0.357257,0.0246045,1.67206,-0.940412
1_1,Constant Potential,7620,0.799688,1.06469,0.355124,0.0244576,1.678,-0.940217
1_1,Constant Potential,7680,0.79977,1.06477,0.354933,0.0244444,1.68391,-0.939988
1_1,Constant Potential,7740,0.79976,1.06476,0.353236,0.0243275,1.68981,-0.939884
1_1,Constant Potential,7800,0.799742,1.06474,0.354578,0.02442,1.69571,-0.940216
1_1,Constant Potential,7860,0.799773,1.06477,0.352273,0.0242613,1.7016,-0.939535
1_1,Constant Potential,7920,0.799767,1.06477,0.350861,0.024164,1.70746,-0.939189
1_1,Constant Potential,7980,0.799762,1.06476,0.349388,0.0240625,1.7133,-0.93904
