"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0002,0.90011,1.55211,2.44652,0.168493,0.0407755,-0.661555
1_1,Constant Potential,120.023,0.900087,1.55209,1.76939,0.121859,0.0759215,-0.539051
1_1,Constant Potential,180.046,0.900091,1.55209,1.46242,0.100717,0.102864,-0.496624
1_1,Constant Potential,240.046,0.900089,1.55209,1.29518,0.0891998,0.125844,-0.46134
1_1,Constant Potential,300.046,0.900074,1.55207,1.16631,0.0803241,0.146356,-0.441721
1_1,Constant Potential,360.046,0.900078,1.55208,1.08161,0.0744913,0.165089,-0.426931
1_1,Constant Potential,420.046,0.900082,1.55208,1.01419,0.0698478,0.182554,-0.419801
1_1,Constant Potential,480.046,0.900087,1.55209,0.950096,0.0654336,0.198923,-0.407705
1_1,Constant Potential,540.046,0.900127,1.55213,0.910333,0.0626951,0.214426,-0.402035
1_1,Constant Potential,600.046,0.900099,1.5521,0.871791,0.0600407,0.229277,-0.394434
1_1,Constant Potential,660.046,0.900109,1.55211,0.847819,0.0583897,0.243607,-0.387362
1_1,Constant Potential,720.046,0.900128,1.55213,0.815119,0.0561377,0.257465,-0.37986
1_1,Constant Potential,780.046,0.90011,1.55211,0.793745,0.0546657,0.270872,-0.378413
1_1,Constant Potential,840.047,0.900119,1.55212,0.771363,0.0531242,0.283915,-0.37177
1_1,Constant Potential,900.047,0.900093,1.55209,0.756663,0.0521118,0.296649,-0.370911
1_1,Constant Potential,960.071,0.900109,1.55211,0.738523,0.0508625,0.309114,-0.364732
1_1,Constant Potential,1020.07,0.900109,1.55211,0.724843,0.0499203,0.321308,-0.36177
1_1,Constant Potential,1080.07,0.900113,1.55211,0.712642,0.04908,0.333287,-0.3639
1_1,Constant Potential,1140.07,0.90009,1.55209,0.698038,0.0480742,0.345043,-0.359901
1_1,Constant Potential,1200.07,0.900116,1.55212,0.685053,0.04718,0.356569,-0.355432
1_1,Constant Potential,1260.07,0.900118,1.55212,0.678553,0.0467323,0.367932,-0.354546
1_1,Constant Potential,1320.07,0.900125,1.55213,0.667045,0.0459398,0.379145,-0.352615
1_1,Constant Potential,1380.07,0.900122,1.55212,0.657622,0.0452908,0.390184,-0.350881
1_1,Constant Potential,1440.07,0.90013,1.55213,0.644868,0.0444124,0.401038,-0.349742
1_1,Constant Potential,1500.07,0.900132,1.55213,0.639281,0.0440276,0.41174,-0.344303
1_1,Constant Potential,1560.07,0.900124,1.55212,0.632955,0.043592,0.422342,-0.344004
