"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0002,0.799776,1.45178,0.318557,0.0219392,0.00530929,-0.621239
1_1,Constant Potential,120.023,0.799793,1.45179,0.207521,0.0142921,0.00969497,-0.549784
1_1,Constant Potential,180.023,0.799822,1.45182,0.173689,0.011962,0.0128717,-0.526859
1_1,Constant Potential,240.023,0.79977,1.45177,0.157232,0.0108287,0.0156294,-0.516101
1_1,Constant Potential,300.023,0.799754,1.45175,0.147318,0.0101459,0.0181673,-0.509825
1_1,Constant Potential,360.023,0.799742,1.45174,0.140487,0.0096754,0.0205657,-0.505749
1_1,Constant Potential,420.023,0.799797,1.4518,0.135758,0.00934975,0.0228677,-0.502964
1_1,Constant Potential,480.023,0.799732,1.45173,0.131706,0.00907069,0.0250966,-0.50072
1_1,Constant Potential,540.023,0.799764,1.45176,0.128806,0.00887092,0.0272675,-0.499149
1_1,Constant Potential,600.023,0.799794,1.45179,0.126494,0.00871168,0.029395,-0.497785
1_1,Constant Potential,660.023,0.799794,1.45179,0.124476,0.00857274,0.0314864,-0.496625
1_1,Constant Potential,720.023,0.799776,1.45178,0.122595,0.00844315,0.0335454,-0.49587
1_1,Constant Potential,780.024,0.79976,1.45176,0.121054,0.00833706,0.0355758,-0.494983
1_1,Constant Potential,840.048,0.799743,1.45174,0.119928,0.00825953,0.0375848,-0.494283
1_1,Constant Potential,900.048,0.799782,1.45178,0.118674,0.00817316,0.0395731,-0.493699
1_1,Constant Potential,960.048,0.79975,1.45175,0.117453,0.00808908,0.0415409,-0.49304
1_1,Constant Potential,1020.05,0.799753,1.45175,0.116457,0.00802044,0.0434901,-0.492565
1_1,Constant Potential,1080.05,0.799762,1.45176,0.115871,0.00798011,0.0454262,-0.492174
1_1,Constant Potential,1140.05,0.799734,1.45173,0.114985,0.00791907,0.04735,-0.491767
1_1,Constant Potential,1200.05,0.799757,1.45176,0.114252,0.0078686,0.0492603,-0.491432
1_1,Constant Potential,1260.05,0.799768,1.45177,0.113665,0.00782815,0.0511596,-0.491176
1_1,Constant Potential,1320.05,0.799739,1.45174,0.113276,0.00780138,0.0530508,-0.49089
1_1,Constant Potential,1380.05,0.799763,1.45176,0.112421,0.00774249,0.0549316,-0.490533
1_1,Constant Potential,1440.05,0.79978,1.45178,0.112105,0.00772073,0.0568026,-0.490354
1_1,Constant Potential,1500.05,0.799788,1.45179,0.111693,0.00769233,0.0586676,-0.490189
