"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0002,0.899756,1.55176,2.5314,0.174339,0.04219,-0.743424
1_1,Constant Potential,120,0.899763,1.55176,1.56296,0.107642,0.0763097,-0.589025
1_1,Constant Potential,180,0.899748,1.55175,1.25435,0.086388,0.0997873,-0.530916
1_1,Constant Potential,240,0.899734,1.55173,1.10311,0.0759715,0.119433,-0.499276
1_1,Constant Potential,300,0.899769,1.55177,1.0101,0.0695662,0.137043,-0.47914
1_1,Constant Potential,360,0.899747,1.55175,0.945798,0.0651376,0.153342,-0.464697
1_1,Constant Potential,420,0.899767,1.55177,0.894808,0.0616259,0.16868,-0.452871
1_1,Constant Potential,480,0.899729,1.55173,0.855195,0.0588978,0.183264,-0.443257
1_1,Constant Potential,540,0.899759,1.55176,0.820671,0.0565201,0.197229,-0.435264
1_1,Constant Potential,600,0.899724,1.55172,0.792936,0.0546099,0.210676,-0.428335
1_1,Constant Potential,660,0.899726,1.55173,0.766165,0.0527662,0.223669,-0.421816
1_1,Constant Potential,720.001,0.899731,1.55173,0.746234,0.0513935,0.236272,-0.416464
1_1,Constant Potential,780.025,0.899764,1.55176,0.726014,0.050001,0.248546,-0.411425
1_1,Constant Potential,840.025,0.899744,1.55174,0.710762,0.0489506,0.260519,-0.407148
1_1,Constant Potential,900.025,0.899781,1.55178,0.6939,0.0477892,0.272224,-0.402621
1_1,Constant Potential,960.025,0.899778,1.55178,0.680371,0.0468575,0.283677,-0.398892
1_1,Constant Potential,1020.02,0.899739,1.55174,0.667698,0.0459847,0.294911,-0.395521
1_1,Constant Potential,1080.02,0.899735,1.55173,0.655068,0.0451149,0.305934,-0.39199
1_1,Constant Potential,1140.02,0.899777,1.55178,0.644488,0.0443862,0.316763,-0.388467
1_1,Constant Potential,1200.02,0.89976,1.55176,0.634004,0.0436642,0.327417,-0.385506
1_1,Constant Potential,1260.02,0.899748,1.55175,0.623636,0.0429501,0.337898,-0.382344
1_1,Constant Potential,1320.02,0.899749,1.55175,0.614618,0.042329,0.348216,-0.379429
1_1,Constant Potential,1380.02,0.899765,1.55176,0.606809,0.0417913,0.358395,-0.376536
1_1,Constant Potential,1440.03,0.899774,1.55177,0.59759,0.0411564,0.368432,-0.373659
