"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0003,0.400202,0.665202,0.421783,0.0290484,0.00702975,0.131799
1_1,Constant Potential,120,0.400194,0.665194,0.402942,0.0277509,0.0139025,0.130557
1_1,Constant Potential,180,0.400216,0.665216,0.407607,0.0280721,0.020657,0.128439
1_1,Constant Potential,240,0.400254,0.665254,0.473622,0.0326186,0.0280006,0.111416
1_1,Constant Potential,300,0.400223,0.665223,0.454911,0.03133,0.0357384,0.111851
1_1,Constant Potential,360,0.400223,0.665223,0.446102,0.0307233,0.0432468,0.11126
1_1,Constant Potential,420,0.400193,0.665193,0.437661,0.030142,0.0506115,0.112171
1_1,Constant Potential,480,0.400235,0.665235,0.428938,0.0295412,0.0578332,0.1133
1_1,Constant Potential,540,0.400224,0.665224,0.423528,0.0291686,0.0649371,0.114837
1_1,Constant Potential,600,0.4002,0.6652,0.421311,0.0290159,0.0719774,0.114901
1_1,Constant Potential,660,0.400204,0.665204,0.420194,0.028939,0.0789899,0.115547
1_1,Constant Potential,720,0.400232,0.665232,0.418139,0.0287975,0.085976,0.115179
1_1,Constant Potential,780,0.400229,0.665229,0.416272,0.0286688,0.0929295,0.115982
1_1,Constant Potential,840,0.4002,0.6652,0.412247,0.0283916,0.0998338,0.117124
1_1,Constant Potential,900,0.40021,0.66521,0.413498,0.0284778,0.106715,0.116784
1_1,Constant Potential,960,0.400192,0.665192,0.409185,0.0281808,0.113571,0.117437
1_1,Constant Potential,1020,0.400233,0.665233,0.410384,0.0282633,0.1204,0.117116
1_1,Constant Potential,1080,0.400193,0.665193,0.406728,0.0280116,0.12721,0.117753
1_1,Constant Potential,1140,0.400174,0.665174,0.40469,0.0278712,0.133971,0.118514
1_1,Constant Potential,1200,0.400173,0.665173,0.405794,0.0279472,0.140726,0.11818
1_1,Constant Potential,1260,0.400177,0.665177,0.405196,0.0279061,0.147484,0.118538
1_1,Constant Potential,1320,0.400173,0.665173,0.403766,0.0278076,0.154225,0.118726
1_1,Constant Potential,1380,0.400183,0.665183,0.401124,0.0276256,0.160933,0.119735
1_1,Constant Potential,1440,0.400212,0.665212,0.403252,0.0277722,0.167636,0.119413
1_1,Constant Potential,1500,0.400246,0.665246,0.399024,0.027481,0.174321,0.119961
1_1,Constant Potential,1560,0.400225,0.665225,0.398706,0.0274591,0.180969,0.119924
1_1,Constant Potential,1620,0.400194,0.665194,0.398959,0.0274765,0.187616,0.120735
1_1,Constant Potential,1680,0.40024,0.66524,0.396972,0.0273396,0.194249,0.120843
1_1,Constant Potential,1740,0.400219,0.665219,0.395913,0.0272667,0.200856,0.121444
1_1,Constant Potential,1800,0.400194,0.665194,0.393721,0.0271158,0.207437,0.122216
1_1,Constant Potential,1860,0.400232,0.665232,0.391956,0.0269942,0.213984,0.122656
1_1,Constant Potential,1920,0.400197,0.665197,0.391456,0.0269598,0.220512,0.122663
1_1,Constant Potential,1980,0.400229,0.665229,0.392989,0.0270654,0.227049,0.122075
1_1,Constant Potential,2040,0.400218,0.665218,0.392514,0.0270326,0.233595,0.122591
1_1,Constant Potential,2100,0.400224,0.665224,0.390957,0.0269254,0.240124,0.122663
1_1,Constant Potential,2160,0.400193,0.665193,0.389533,0.0268273,0.246628,0.122852
1_1,Constant Potential,2220,0.400211,0.665211,0.389016,0.0267917,0.253116,0.122846
