"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0256,0.800405,1.06541,0.365437,0.0251678,0.00609322,-0.30747
1_1,Constant Potential,120.076,0.800383,1.06538,0.315526,0.0217304,0.0117727,-0.294374
1_1,Constant Potential,180.076,0.80046,1.06546,0.304139,0.0209462,0.0169366,-0.291219
1_1,Constant Potential,240.076,0.800402,1.0654,0.300137,0.0206706,0.0219722,-0.289997
1_1,Constant Potential,300.076,0.800413,1.06541,0.298487,0.0205569,0.0269607,-0.289494
1_1,Constant Potential,360.076,0.800422,1.06542,0.296929,0.0204496,0.0319225,-0.289137
1_1,Constant Potential,420.076,0.800434,1.06543,0.295813,0.0203728,0.036862,-0.288718
1_1,Constant Potential,480.076,0.80039,1.06539,0.295185,0.0203295,0.041787,-0.288665
1_1,Constant Potential,540.076,0.800397,1.0654,0.295267,0.0203352,0.0467075,-0.288626
1_1,Constant Potential,600.076,0.800434,1.06543,0.294843,0.020306,0.0516251,-0.288626
1_1,Constant Potential,660.076,0.800374,1.06537,0.293837,0.0202367,0.0565307,-0.288664
1_1,Constant Potential,720.076,0.800394,1.06539,0.29373,0.0202294,0.0614271,-0.288701
1_1,Constant Potential,780.076,0.800434,1.06543,0.293529,0.0202155,0.0663209,-0.288538
1_1,Constant Potential,840.076,0.800393,1.06539,0.294802,0.0203032,0.0712237,-0.288766
1_1,Constant Potential,900.076,0.800383,1.06538,0.29416,0.0202589,0.0761317,-0.288666
1_1,Constant Potential,960.076,0.800413,1.06541,0.294874,0.0203081,0.0810403,-0.288767
1_1,Constant Potential,1020.08,0.800389,1.06539,0.293843,0.0202371,0.0859463,-0.288737
1_1,Constant Potential,1080.08,0.80037,1.06537,0.293744,0.0202303,0.0908429,-0.288571
1_1,Constant Potential,1140.08,0.800407,1.06541,0.293844,0.0202372,0.0957394,-0.288639
1_1,Constant Potential,1200.08,0.800409,1.06541,0.294249,0.0202651,0.10064,-0.288835
1_1,Constant Potential,1260.08,0.800396,1.0654,0.293624,0.0202221,0.105539,-0.288736
1_1,Constant Potential,1320.08,0.800379,1.06538,0.293409,0.0202073,0.110431,-0.288542
1_1,Constant Potential,1380.08,0.800403,1.0654,0.292871,0.0201702,0.115317,-0.288296
1_1,Constant Potential,1440.08,0.800394,1.06539,0.292857,0.0201692,0.120198,-0.288381
1_1,Constant Potential,1500.08,0.800404,1.0654,0.293322,0.0202013,0.125083,-0.288509
1_1,Constant Potential,1560.08,0.800409,1.06541,0.293037,0.0201816,0.129969,-0.288428
1_1,Constant Potential,1620.08,0.800401,1.0654,0.292982,0.0201778,0.134852,-0.288393
1_1,Constant Potential,1680.08,0.80038,1.06538,0.292959,0.0201762,0.139735,-0.288421
1_1,Constant Potential,1740.08,0.800377,1.06538,0.292795,0.0201649,0.144617,-0.28842
1_1,Constant Potential,1800.08,0.800405,1.0654,0.2927,0.0201584,0.149496,-0.288418
1_1,Constant Potential,1860.08,0.800402,1.0654,0.292774,0.0201635,0.154375,-0.28844
1_1,Constant Potential,1920.08,0.800396,1.0654,0.293164,0.0201903,0.159257,-0.288527
1_1,Constant Potential,1980.08,0.800388,1.06539,0.292654,0.0201553,0.164139,-0.28872
1_1,Constant Potential,2040.08,0.800389,1.06539,0.292519,0.020146,0.169016,-0.288748
