"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0261,0.600107,0.865107,0.346958,0.0238952,0.00578515,-0.226543
1_1,Constant Potential,120.051,0.600107,0.865107,0.294208,0.0202623,0.0111304,-0.211946
1_1,Constant Potential,180.051,0.600114,0.865114,0.280056,0.0192876,0.0159159,-0.207808
1_1,Constant Potential,240.051,0.600117,0.865117,0.274356,0.018895,0.020536,-0.20604
1_1,Constant Potential,300.051,0.600076,0.865076,0.272692,0.0187805,0.0250948,-0.205517
1_1,Constant Potential,360.051,0.60011,0.86511,0.269897,0.018588,0.0296163,-0.204999
1_1,Constant Potential,420.051,0.600124,0.865124,0.268525,0.0184935,0.0341032,-0.204635
1_1,Constant Potential,480.051,0.600086,0.865086,0.267679,0.0184352,0.0385715,-0.204562
1_1,Constant Potential,540.051,0.600105,0.865105,0.26666,0.018365,0.0430244,-0.204471
1_1,Constant Potential,600.051,0.600039,0.865039,0.266963,0.0183859,0.0474712,-0.204528
1_1,Constant Potential,660.051,0.600041,0.865041,0.265734,0.0183013,0.0519104,-0.204409
1_1,Constant Potential,720.051,0.600093,0.865093,0.266247,0.0183365,0.0563435,-0.204382
1_1,Constant Potential,780.051,0.600109,0.865109,0.266393,0.0183466,0.0607822,-0.204503
1_1,Constant Potential,840.051,0.600136,0.865136,0.266903,0.0183818,0.0652263,-0.204679
1_1,Constant Potential,900.051,0.60005,0.86505,0.265205,0.0182648,0.0696606,-0.204533
1_1,Constant Potential,960.051,0.600089,0.865089,0.265347,0.0182746,0.0740818,-0.204603
1_1,Constant Potential,1020.05,0.600102,0.865102,0.265449,0.0182816,0.0785051,-0.204609
1_1,Constant Potential,1080.05,0.600065,0.865065,0.263594,0.0181539,0.0829138,-0.204645
1_1,Constant Potential,1140.05,0.600124,0.865124,0.263705,0.0181615,0.087308,-0.204529
1_1,Constant Potential,1200.05,0.600116,0.865116,0.263693,0.0181607,0.091703,-0.204551
1_1,Constant Potential,1260.05,0.600134,0.865134,0.26407,0.0181867,0.096101,-0.204906
1_1,Constant Potential,1320.05,0.6001,0.8651,0.265052,0.0182543,0.10051,-0.205016
1_1,Constant Potential,1380.05,0.600105,0.865105,0.263588,0.0181534,0.104916,-0.204871
1_1,Constant Potential,1440.05,0.600091,0.865091,0.264175,0.0181938,0.109314,-0.204833
1_1,Constant Potential,1500.05,0.600123,0.865123,0.264437,0.0182119,0.113719,-0.204721
1_1,Constant Potential,1560.05,0.600081,0.865081,0.263835,0.0181705,0.118121,-0.20497
1_1,Constant Potential,1620.05,0.600088,0.865088,0.264101,0.0181888,0.122521,-0.204974
1_1,Constant Potential,1680.05,0.600094,0.865094,0.262749,0.0180957,0.126911,-0.204734
1_1,Constant Potential,1740.05,0.600086,0.865086,0.262022,0.0180456,0.131284,-0.204686
1_1,Constant Potential,1800.05,0.600119,0.865119,0.263672,0.0181592,0.135665,-0.204914
1_1,Constant Potential,1860.05,0.60006,0.86506,0.262752,0.0180959,0.140052,-0.205058
1_1,Constant Potential,1920.05,0.600073,0.865073,0.264808,0.0182375,0.144448,-0.205168
1_1,Constant Potential,1980.05,0.600127,0.865127,0.26355,0.0181508,0.148851,-0.20495
1_1,Constant Potential,2040.05,0.600094,0.865094,0.263582,0.018153,0.153244,-0.204685
1_1,Constant Potential,2100.05,0.600062,0.865062,0.263165,0.0181243,0.157633,-0.204918
1_1,Constant Potential,2160.05,0.600078,0.865078,0.264048,0.0181851,0.162027,-0.205022
1_1,Constant Potential,2220.05,0.600094,0.865094,0.261885,0.0180362,0.16641,-0.205082
1_1,Constant Potential,2280.05,0.600086,0.865086,0.263736,0.0181636,0.17079,-0.205258
1_1,Constant Potential,2340.05,0.600079,0.865079,0.26287,0.018104,0.175178,-0.205136
1_1,Constant Potential,2400.05,0.600085,0.865085,0.263473,0.0181455,0.179564,-0.205198
1_1,Constant Potential,2460.05,0.600084,0.865084,0.262464,0.018076,0.183947,-0.205248
1_1,Constant Potential,2520.05,0.600077,0.865077,0.263063,0.0181173,0.188327,-0.205209
1_1,Constant Potential,2580.05,0.600098,0.865098,0.262812,0.0181,0.192709,-0.205096
1_1,Constant Potential,2640.05,0.600115,0.865115,0.26268,0.0180909,0.197088,-0.205051
1_1,Constant Potential,2700.05,0.600097,0.865097,0.26343,0.0181426,0.201472,-0.205231
1_1,Constant Potential,2760.05,0.600082,0.865082,0.262535,0.0180809,0.205855,-0.205059
1_1,Constant Potential,2820.05,0.600103,0.865103,0.262327,0.0180666,0.210229,-0.205156
1_1,Constant Potential,2880.05,0.6001,0.8651,0.262939,0.0181087,0.214606,-0.205209
1_1,Constant Potential,2940.05,0.600122,0.865122,0.26213,0.018053,0.218982,-0.20523
1_1,Constant Potential,3000.05,0.600087,0.865087,0.262369,0.0180695,0.223353,-0.205066
1_1,Constant Potential,3060.05,0.600116,0.865116,0.263176,0.018125,0.227732,-0.205454
1_1,Constant Potential,3120.05,0.600072,0.865072,0.262532,0.0180807,0.232113,-0.205062
1_1,Constant Potential,3180.05,0.600076,0.865076,0.262943,0.018109,0.236492,-0.205152
1_1,Constant Potential,3240.05,0.600062,0.865062,0.26313,0.0181219,0.240876,-0.205484
1_1,Constant Potential,3300.05,0.600025,0.865025,0.26295,0.0181095,0.24526,-0.205078
1_1,Constant Potential,3360.05,0.600041,0.865041,0.263932,0.0181771,0.249651,-0.205737
1_1,Constant Potential,3420.05,0.600064,0.865064,0.262269,0.0180626,0.254036,-0.205318
1_1,Constant Potential,3480.05,0.600035,0.865035,0.262888,0.0181052,0.258412,-0.2053
1_1,Constant Potential,3540.05,0.60008,0.86508,0.263369,0.0181384,0.262797,-0.205325
1_1,Constant Potential,3600.05,0.600082,0.865082,0.262468,0.0180763,0.267179,-0.205339
1_1,Constant Potential,3660.05,0.600065,0.865065,0.263025,0.0181146,0.271559,-0.205359
1_1,Constant Potential,3720.05,0.600087,0.865087,0.262967,0.0181107,0.275942,-0.205368
1_1,Constant Potential,3780.05,0.600101,0.865101,0.263886,0.018174,0.280332,-0.205511
1_1,Constant Potential,3840.05,0.600087,0.865087,0.262573,0.0180835,0.284719,-0.20533
1_1,Constant Potential,3900.05,0.600038,0.865038,0.262515,0.0180796,0.289095,-0.205364
1_1,Constant Potential,3960.05,0.600074,0.865074,0.263935,0.0181773,0.293482,-0.205496
1_1,Constant Potential,4020.05,0.600073,0.865073,0.263093,0.0181193,0.297874,-0.205704
1_1,Constant Potential,4080.05,0.600056,0.865056,0.262701,0.0180924,0.302256,-0.2053
1_1,Constant Potential,4140.05,0.60008,0.86508,0.262357,0.0180687,0.306631,-0.205063
1_1,Constant Potential,4200.05,0.600049,0.865049,0.263641,0.0181571,0.311015,-0.205301
1_1,Constant Potential,4260.05,0.600089,0.865089,0.263968,0.0181796,0.315411,-0.20519
1_1,Constant Potential,4320.05,0.600092,0.865092,0.263406,0.0181409,0.319806,-0.20532
1_1,Constant Potential,4380.05,0.600096,0.865096,0.264136,0.0181912,0.324202,-0.205596
1_1,Constant Potential,4440.05,0.600068,0.865068,0.263059,0.018117,0.328596,-0.205378
1_1,Constant Potential,4500.05,0.600022,0.865022,0.263195,0.0181264,0.332981,-0.205445
1_1,Constant Potential,4560.05,0.600087,0.865087,0.264539,0.0182189,0.337379,-0.205175
1_1,Constant Potential,4620.05,0.600091,0.865091,0.263808,0.0181686,0.341782,-0.205929
1_1,Constant Potential,4680.05,0.60011,0.86511,0.264281,0.0182012,0.346182,-0.206055
1_1,Constant Potential,4740.05,0.600075,0.865075,0.263543,0.0181504,0.350581,-0.205914
1_1,Constant Potential,4800.05,0.60011,0.86511,0.264231,0.0181977,0.354979,-0.205806
1_1,Constant Potential,4860.05,0.600101,0.865101,0.263212,0.0181275,0.359374,-0.205793
1_1,Constant Potential,4920.05,0.60009,0.86509,0.264164,0.0181931,0.363769,-0.20583
1_1,Constant Potential,4980.05,0.600062,0.865062,0.26398,0.0181805,0.36817,-0.205949
1_1,Constant Potential,5040.05,0.60008,0.86508,0.263778,0.0181666,0.372568,-0.205633
1_1,Constant Potential,5100.05,0.600062,0.865062,0.263118,0.0181211,0.376959,-0.205826
1_1,Constant Potential,5160.05,0.60007,0.86507,0.26291,0.0181067,0.381343,-0.205755
1_1,Constant Potential,5220.05,0.600071,0.865071,0.263554,0.0181511,0.38573,-0.205912
1_1,Constant Potential,5280.05,0.600092,0.865092,0.263591,0.0181537,0.390123,-0.205837
1_1,Constant Potential,5340.05,0.600095,0.865095,0.262961,0.0181103,0.394511,-0.206013
1_1,Constant Potential,5400.05,0.600038,0.865038,0.26288,0.0181046,0.398893,-0.205801
1_1,Constant Potential,5460.05,0.600077,0.865077,0.263554,0.0181511,0.40328,-0.206068
1_1,Constant Potential,5520.05,0.600119,0.865119,0.264179,0.0181942,0.407678,-0.205974
1_1,Constant Potential,5580.05,0.600083,0.865083,0.262777,0.0180976,0.412069,-0.205729
1_1,Constant Potential,5640.05,0.600079,0.865079,0.263546,0.0181506,0.416455,-0.205829
1_1,Constant Potential,5700.05,0.600057,0.865057,0.263362,0.0181379,0.420846,-0.206024
1_1,Constant Potential,5760.05,0.600078,0.865078,0.26259,0.0180847,0.425229,-0.205671
1_1,Constant Potential,5820.05,0.600048,0.865048,0.263757,0.0181651,0.429615,-0.205697
1_1,Constant Potential,5880.05,0.600055,0.865055,0.26298,0.0181116,0.434004,-0.20575
1_1,Constant Potential,5940.05,0.600074,0.865074,0.263441,0.0181433,0.438391,-0.205903
1_1,Constant Potential,6000.05,0.60008,0.86508,0.263698,0.018161,0.442784,-0.20577
1_1,Constant Potential,6060.05,0.600088,0.865088,0.263489,0.0181466,0.447177,-0.205822
1_1,Constant Potential,6120.05,0.600075,0.865075,0.263357,0.0181375,0.451568,-0.205901
1_1,Constant Potential,6180.05,0.600093,0.865093,0.262916,0.0181071,0.455953,-0.205804
1_1,Constant Potential,6240.05,0.600103,0.865103,0.262344,0.0180678,0.46033,-0.205819
1_1,Constant Potential,6300.05,0.600073,0.865073,0.263287,0.0181327,0.464711,-0.205876
1_1,Constant Potential,6360.05,0.60008,0.86508,0.262665,0.0180899,0.469094,-0.205562
1_1,Constant Potential,6420.05,0.600064,0.865064,0.262044,0.0180471,0.473466,-0.205657
1_1,Constant Potential,6480.05,0.600094,0.865094,0.261733,0.0180257,0.477831,-0.205631
1_1,Constant Potential,6540.05,0.600092,0.865092,0.26379,0.0181674,0.48221,-0.205788
1_1,Constant Potential,6600.05,0.600101,0.865101,0.262429,0.0180736,0.486596,-0.205612
1_1,Constant Potential,6660.05,0.600118,0.865118,0.262198,0.0180577,0.490967,-0.20534
1_1,Constant Potential,6720.05,0.60013,0.86513,0.263134,0.0181222,0.495345,-0.205622
1_1,Constant Potential,6780.05,0.600064,0.865064,0.261085,0.0179811,0.499714,-0.205585
1_1,Constant Potential,6840.05,0.600087,0.865087,0.261757,0.0180274,0.504071,-0.205335
1_1,Constant Potential,6900.05,0.600051,0.865051,0.261579,0.0180151,0.508432,-0.205415
1_1,Constant Potential,6960.05,0.600071,0.865071,0.261847,0.0180335,0.512794,-0.20529
1_1,Constant Potential,7020.05,0.600084,0.865084,0.262073,0.0180491,0.51716,-0.20546
1_1,Constant Potential,7080.05,0.600061,0.865061,0.262268,0.0180625,0.521529,-0.205418
1_1,Constant Potential,7140.05,0.600105,0.865105,0.261335,0.0179983,0.525893,-0.20532
1_1,Constant Potential,7200.05,0.600093,0.865093,0.263719,0.0181625,0.530268,-0.205507
1_1,Constant Potential,7260.05,0.600079,0.865079,0.26194,0.01804,0.534648,-0.205364
1_1,Constant Potential,7320.05,0.600097,0.865097,0.261733,0.0180257,0.539012,-0.205238
1_1,Constant Potential,7380.05,0.6001,0.8651,0.261499,0.0180096,0.543373,-0.205293
1_1,Constant Potential,7440.05,0.600076,0.865076,0.262127,0.0180528,0.547736,-0.205229
1_1,Constant Potential,7500.05,0.600094,0.865094,0.261968,0.0180419,0.552104,-0.205383
1_1,Constant Potential,7560.05,0.600068,0.865068,0.262232,0.0180601,0.556472,-0.205329
1_1,Constant Potential,7620.05,0.600114,0.865114,0.262218,0.0180591,0.560842,-0.205103
1_1,Constant Potential,7680.05,0.600141,0.865141,0.260996,0.0179749,0.565203,-0.205016
1_1,Constant Potential,7740.05,0.600109,0.865109,0.261397,0.0180026,0.569556,-0.205061
1_1,Constant Potential,7800.05,0.600092,0.865092,0.260959,0.0179724,0.573909,-0.20513
1_1,Constant Potential,7860.05,0.600106,0.865106,0.261865,0.0180348,0.578266,-0.205235
1_1,Constant Potential,7920.05,0.600099,0.865099,0.261283,0.0179947,0.582625,-0.205109
1_1,Constant Potential,7980.05,0.600084,0.865084,0.261252,0.0179926,0.58698,-0.205138
1_1,Constant Potential,8040.05,0.600082,0.865082,0.260969,0.0179731,0.591332,-0.205078
1_1,Constant Potential,8100.05,0.600062,0.865062,0.261871,0.0180352,0.595689,-0.205129
1_1,Constant Potential,8160.05,0.60006,0.86506,0.260964,0.0179727,0.600046,-0.205057
1_1,Constant Potential,8220.05,0.600078,0.865078,0.261189,0.0179882,0.604397,-0.20515
1_1,Constant Potential,8280.05,0.600059,0.865059,0.260497,0.0179406,0.608744,-0.205039
1_1,Constant Potential,8340.05,0.600051,0.865051,0.260743,0.0179575,0.613088,-0.205141
1_1,Constant Potential,8400.05,0.600021,0.865021,0.261078,0.0179806,0.617436,-0.204885
1_1,Constant Potential,8460.05,0.600083,0.865083,0.261527,0.0180115,0.621791,-0.20488
1_1,Constant Potential,8520.05,0.600062,0.865062,0.261547,0.0180129,0.62615,-0.204952
1_1,Constant Potential,8580.05,0.600082,0.865082,0.260756,0.0179584,0.630503,-0.205001
1_1,Constant Potential,8640.05,0.60012,0.86512,0.260366,0.0179316,0.634846,-0.204798
1_1,Constant Potential,8700.05,0.600111,0.865111,0.26062,0.017949,0.639187,-0.204757
1_1,Constant Potential,8760.05,0.600075,0.865075,0.260371,0.0179319,0.643529,-0.204763
1_1,Constant Potential,8820.05,0.600156,0.865156,0.261736,0.0180259,0.64788,-0.205038
1_1,Constant Potential,8880.05,0.600088,0.865088,0.260479,0.0179393,0.652231,-0.204805
1_1,Constant Potential,8940.05,0.600089,0.865089,0.261248,0.0179923,0.656579,-0.205051
1_1,Constant Potential,9000.05,0.600074,0.865074,0.260518,0.017942,0.660927,-0.20498
1_1,Constant Potential,9060.05,0.600076,0.865076,0.26029,0.0179263,0.665267,-0.204779
1_1,Constant Potential,9120.05,0.600091,0.865091,0.261207,0.0179894,0.669613,-0.205001
1_1,Constant Potential,9180.05,0.600119,0.865119,0.260544,0.0179438,0.673961,-0.205055
1_1,Constant Potential,9240.05,0.600083,0.865083,0.260119,0.0179146,0.6783,-0.204808
1_1,Constant Potential,9300.05,0.600095,0.865095,0.260388,0.017933,0.682637,-0.204849
1_1,Constant Potential,9360.05,0.600097,0.865097,0.260292,0.0179265,0.686976,-0.204953
1_1,Constant Potential,9420.05,0.60009,0.86509,0.260411,0.0179346,0.691316,-0.204708
1_1,Constant Potential,9480.05,0.600075,0.865075,0.260115,0.0179142,0.695653,-0.204795
1_1,Constant Potential,9540.05,0.600127,0.865127,0.260158,0.0179172,0.699989,-0.204581
1_1,Constant Potential,9600.05,0.60009,0.86509,0.260219,0.0179214,0.704325,-0.204793
1_1,Constant Potential,9660.05,0.600057,0.865057,0.261978,0.0180425,0.708677,-0.205086
1_1,Constant Potential,9720.05,0.600125,0.865125,0.260382,0.0179326,0.71303,-0.204745
1_1,Constant Potential,9780.05,0.600099,0.865099,0.259967,0.0179041,0.717366,-0.20485
1_1,Constant Potential,9840.05,0.60013,0.86513,0.261236,0.0179914,0.72171,-0.204774
1_1,Constant Potential,9900.05,0.600147,0.865147,0.260088,0.0179124,0.726054,-0.204758
1_1,Constant Potential,9960.05,0.600087,0.865087,0.260269,0.0179249,0.73039,-0.204694
1_1,Constant Potential,10020.1,0.600104,0.865104,0.258959,0.0178347,0.734717,-0.204507
1_1,Constant Potential,10080.1,0.600099,0.865099,0.2604,0.0179339,0.739045,-0.20458
1_1,Constant Potential,10140.1,0.600092,0.865092,0.260316,0.0179281,0.743385,-0.2046
1_1,Constant Potential,10200.1,0.600124,0.865124,0.260193,0.0179196,0.747722,-0.204489
1_1,Constant Potential,10260.1,0.60008,0.86508,0.258566,0.0178076,0.752045,-0.2043
1_1,Constant Potential,10320.1,0.600086,0.865086,0.25884,0.0178264,0.756357,-0.204421
1_1,Constant Potential,10380.1,0.600085,0.865085,0.259428,0.0178669,0.760676,-0.20436
1_1,Constant Potential,10440.1,0.600086,0.865086,0.25849,0.0178023,0.764992,-0.204407
1_1,Constant Potential,10500.1,0.600107,0.865107,0.259181,0.01785,0.769306,-0.204446
1_1,Constant Potential,10560.1,0.600074,0.865074,0.258634,0.0178122,0.773621,-0.204329
1_1,Constant Potential,10620.1,0.60011,0.86511,0.259151,0.0178479,0.777936,-0.20454
1_1,Constant Potential,10680.1,0.600077,0.865077,0.258816,0.0178248,0.782252,-0.204309
1_1,Constant Potential,10740.1,0.60007,0.86507,0.259114,0.0178453,0.786568,-0.204319
1_1,Constant Potential,10800.1,0.600066,0.865066,0.259608,0.0178793,0.790891,-0.20454
1_1,Constant Potential,10860.1,0.600101,0.865101,0.259471,0.0178699,0.795216,-0.204534
1_1,Constant Potential,10920.1,0.6001,0.8651,0.2595,0.0178719,0.799541,-0.204435
1_1,Constant Potential,10980.1,0.600099,0.865099,0.259616,0.0178799,0.803867,-0.204286
1_1,Constant Potential,11040.1,0.600101,0.865101,0.259468,0.0178697,0.808193,-0.204262
1_1,Constant Potential,11100.1,0.600086,0.865086,0.259382,0.0178638,0.812517,-0.204231
1_1,Constant Potential,11160.1,0.60007,0.86507,0.259277,0.0178566,0.816839,-0.204342
1_1,Constant Potential,11220.1,0.600106,0.865106,0.258637,0.0178124,0.821155,-0.204229
1_1,Constant Potential,11280.1,0.600117,0.865117,0.259195,0.0178509,0.82547,-0.204286
1_1,Constant Potential,11340.1,0.600067,0.865067,0.259233,0.0178535,0.82979,-0.204117
1_1,Constant Potential,11400.1,0.600064,0.865064,0.259972,0.0179044,0.834117,-0.204342
1_1,Constant Potential,11460.1,0.600074,0.865074,0.259617,0.0178799,0.838447,-0.204125
1_1,Constant Potential,11520.1,0.600077,0.865077,0.259032,0.0178397,0.842769,-0.204137
1_1,Constant Potential,11580.1,0.600081,0.865081,0.258862,0.017828,0.847085,-0.204101
1_1,Constant Potential,11640.1,0.600084,0.865084,0.259147,0.0178476,0.851401,-0.203986
1_1,Constant Potential,11700.1,0.600116,0.865116,0.259398,0.0178648,0.855723,-0.204038
1_1,Constant Potential,11760.1,0.600082,0.865082,0.258926,0.0178324,0.860042,-0.204106
1_1,Constant Potential,11820.1,0.600081,0.865081,0.258086,0.0177745,0.86435,-0.203992
1_1,Constant Potential,11880.1,0.600078,0.865078,0.258673,0.017815,0.868657,-0.203994
1_1,Constant Potential,11940.1,0.600096,0.865096,0.259161,0.0178485,0.872972,-0.204037
1_1,Constant Potential,12000.1,0.600087,0.865087,0.259758,0.0178897,0.877296,-0.203966
1_1,Constant Potential,12060.1,0.600095,0.865095,0.257556,0.017738,0.881607,-0.203635
1_1,Constant Potential,12120.1,0.600101,0.865101,0.258823,0.0178253,0.88591,-0.203908
1_1,Constant Potential,12180.1,0.600093,0.865093,0.258713,0.0178177,0.890223,-0.203771
1_1,Constant Potential,12240.1,0.600092,0.865092,0.258448,0.0177994,0.894533,-0.203971
1_1,Constant Potential,12300.1,0.600103,0.865103,0.259693,0.0178852,0.898851,-0.203961
1_1,Constant Potential,12360.1,0.600139,0.865139,0.258178,0.0177808,0.903166,-0.20381
1_1,Constant Potential,12420.1,0.600097,0.865097,0.258021,0.01777,0.907468,-0.20385
1_1,Constant Potential,12480.1,0.600104,0.865104,0.258754,0.0178205,0.911774,-0.203898
1_1,Constant Potential,12540.1,0.60007,0.86507,0.25818,0.017781,0.916082,-0.203716
1_1,Constant Potential,12600.1,0.600101,0.865101,0.258394,0.0177957,0.920387,-0.203611
1_1,Constant Potential,12660.1,0.600078,0.865078,0.257831,0.0177569,0.924689,-0.203756
1_1,Constant Potential,12720.1,0.600123,0.865123,0.258069,0.0177734,0.928988,-0.203785
1_1,Constant Potential,12780.1,0.600102,0.865102,0.259218,0.0178525,0.933299,-0.203929
1_1,Constant Potential,12840.1,0.600111,0.865111,0.258984,0.0178364,0.937617,-0.203803
1_1,Constant Potential,12900.1,0.600139,0.865139,0.258512,0.0178039,0.94193,-0.203861
1_1,Constant Potential,12960.1,0.600104,0.865104,0.257756,0.0177518,0.946232,-0.203673
1_1,Constant Potential,13020.1,0.600108,0.865108,0.259079,0.0178429,0.950539,-0.203763
1_1,Constant Potential,13080.1,0.60011,0.86511,0.258166,0.01778,0.954849,-0.203668
1_1,Constant Potential,13140.1,0.600085,0.865085,0.257647,0.0177443,0.959148,-0.203613
1_1,Constant Potential,13200.1,0.600121,0.865121,0.259017,0.0178386,0.963453,-0.203836
1_1,Constant Potential,13260.1,0.600118,0.865118,0.258079,0.017774,0.967762,-0.203649
1_1,Constant Potential,13320.1,0.600165,0.865165,0.258346,0.0177924,0.972066,-0.203756
1_1,Constant Potential,13380.1,0.600118,0.865118,0.257514,0.0177351,0.976365,-0.203469
1_1,Constant Potential,13440.1,0.600105,0.865105,0.258433,0.0177984,0.980664,-0.203524
1_1,Constant Potential,13500.1,0.600105,0.865105,0.257822,0.0177563,0.984966,-0.20355
1_1,Constant Potential,13560.1,0.600083,0.865083,0.258918,0.0178318,0.989272,-0.203797
1_1,Constant Potential,13620.1,0.600098,0.865098,0.258706,0.0178172,0.993586,-0.203531
1_1,Constant Potential,13680.1,0.600102,0.865102,0.258351,0.0177928,0.997895,-0.203492
1_1,Constant Potential,13740.1,0.600119,0.865119,0.257414,0.0177282,1.00219,-0.203432
1_1,Constant Potential,13800.1,0.600143,0.865143,0.258703,0.017817,1.00649,-0.203565
1_1,Constant Potential,13860.1,0.600098,0.865098,0.258541,0.0178058,1.0108,-0.203577
1_1,Constant Potential,13920.1,0.600087,0.865087,0.25817,0.0177803,1.01511,-0.203542
1_1,Constant Potential,13980.1,0.600138,0.865138,0.25688,0.0176914,1.0194,-0.203291
1_1,Constant Potential,14040.1,0.600111,0.865111,0.257383,0.0177261,1.02369,-0.203293
1_1,Constant Potential,14100.1,0.60013,0.86513,0.258741,0.0178196,1.02799,-0.203575
1_1,Constant Potential,14160.1,0.600072,0.865072,0.258535,0.0178054,1.0323,-0.203469
1_1,Constant Potential,14220.1,0.600114,0.865114,0.259079,0.0178429,1.03661,-0.20375
1_1,Constant Potential,14280.1,0.600089,0.865089,0.257581,0.0177397,1.04092,-0.203436
1_1,Constant Potential,14340.1,0.600116,0.865116,0.258334,0.0177916,1.04522,-0.203212
1_1,Constant Potential,14400.1,0.600114,0.865114,0.258285,0.0177882,1.04952,-0.203331
1_1,Constant Potential,14460.1,0.600085,0.865085,0.257779,0.0177534,1.05382,-0.203349
1_1,Constant Potential,14520.1,0.600106,0.865106,0.257138,0.0177092,1.05811,-0.203216
1_1,Constant Potential,14580.1,0.600101,0.865101,0.258008,0.0177692,1.06241,-0.203216
1_1,Constant Potential,14640.1,0.600121,0.865121,0.257751,0.0177514,1.06671,-0.203295
1_1,Constant Potential,14700.1,0.600116,0.865116,0.257974,0.0177668,1.071,-0.203153
1_1,Constant Potential,14760.1,0.600106,0.865106,0.258095,0.0177751,1.0753,-0.203297
1_1,Constant Potential,14820.1,0.600089,0.865089,0.258187,0.0177814,1.07961,-0.203275
1_1,Constant Potential,14880.1,0.600081,0.865081,0.25773,0.01775,1.08391,-0.203215
1_1,Constant Potential,14940.1,0.600106,0.865106,0.258837,0.0178262,1.08821,-0.20345
