"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60,0.399859,0.664859,0.957808,0.0659648,0.0159635,-0.451208
1_1,Constant Potential,120,0.399913,0.664913,0.816001,0.0561984,0.0307452,-0.431987
1_1,Constant Potential,180,0.399844,0.664844,0.776774,0.0534968,0.0440183,-0.426801
1_1,Constant Potential,240,0.399863,0.664863,0.772266,0.0531864,0.056927,-0.426024
1_1,Constant Potential,300,0.399866,0.664866,0.779817,0.0537064,0.069861,-0.429123
1_1,Constant Potential,360,0.399859,0.664859,0.796377,0.0548469,0.082996,-0.433402
1_1,Constant Potential,420,0.399868,0.664868,0.814808,0.0561163,0.0964225,-0.436998
1_1,Constant Potential,480,0.399854,0.664854,0.836265,0.057594,0.110181,-0.441478
1_1,Constant Potential,540,0.399869,0.664869,0.845815,0.0582518,0.124199,-0.445375
1_1,Constant Potential,600,0.399891,0.664891,0.853198,0.0587602,0.138357,-0.448796
1_1,Constant Potential,660,0.39989,0.66489,0.856206,0.0589674,0.152602,-0.449047
1_1,Constant Potential,720,0.399879,0.664879,0.860669,0.0592747,0.16691,-0.450338
1_1,Constant Potential,780,0.399881,0.664881,0.851002,0.058609,0.181173,-0.448409
1_1,Constant Potential,840,0.399869,0.664869,0.842825,0.0580458,0.195289,-0.446937
1_1,Constant Potential,900,0.399885,0.664885,0.834182,0.0574506,0.209264,-0.44509
1_1,Constant Potential,960,0.399891,0.664891,0.833812,0.0574251,0.223164,-0.444439
1_1,Constant Potential,1020,0.399838,0.664838,0.831674,0.0572778,0.237043,-0.446227
1_1,Constant Potential,1080,0.39985,0.66485,0.828658,0.0570701,0.250879,-0.445721
1_1,Constant Potential,1140,0.399862,0.664862,0.826609,0.056929,0.264673,-0.446768
1_1,Constant Potential,1200,0.399868,0.664868,0.825109,0.0568257,0.278437,-0.445529
1_1,Constant Potential,1260,0.399862,0.664862,0.821405,0.0565706,0.292158,-0.445119
1_1,Constant Potential,1320,0.399833,0.664833,0.821013,0.0565436,0.305845,-0.445068
1_1,Constant Potential,1380,0.399866,0.664866,0.819564,0.0564438,0.319516,-0.44536
1_1,Constant Potential,1440,0.399859,0.664859,0.818119,0.0563443,0.333164,-0.445661
