"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0002,0.800389,1.06539,9.22723,0.635484,0.153788,-1.55421
1_1,Constant Potential,120,0.80039,1.06539,4.73269,0.325943,0.27012,-1.00525
1_1,Constant Potential,180,0.800401,1.0654,3.78982,0.261007,0.341141,-0.873102
1_1,Constant Potential,240,0.800399,1.0654,3.22049,0.221797,0.399561,-0.790066
1_1,Constant Potential,300,0.80039,1.06539,2.85791,0.196826,0.450214,-0.736403
1_1,Constant Potential,360,0.800415,1.06541,2.55962,0.176282,0.49536,-0.690399
1_1,Constant Potential,420,0.800422,1.06542,2.34459,0.161473,0.536228,-0.655953
1_1,Constant Potential,480,0.800425,1.06543,2.20215,0.151663,0.574118,-0.633316
1_1,Constant Potential,540,0.800425,1.06542,2.07255,0.142738,0.60974,-0.612966
1_1,Constant Potential,600,0.80044,1.06544,1.97077,0.135728,0.643435,-0.597206
1_1,Constant Potential,660,0.800379,1.06538,1.8843,0.129773,0.67556,-0.583396
1_1,Constant Potential,720,0.800403,1.0654,1.80392,0.124237,0.706296,-0.570099
1_1,Constant Potential,780.007,0.800398,1.0654,1.75732,0.121028,0.735976,-0.5654
1_1,Constant Potential,840.007,0.80039,1.06539,1.70695,0.117558,0.764845,-0.557099
1_1,Constant Potential,900.007,0.800409,1.06541,1.65601,0.11405,0.79287,-0.549199
1_1,Constant Potential,960.007,0.800424,1.06542,1.60207,0.110335,0.82002,-0.539123
1_1,Constant Potential,1020.01,0.800406,1.06541,1.56846,0.108021,0.846441,-0.534249
1_1,Constant Potential,1080.01,0.800413,1.06541,1.54489,0.106398,0.872386,-0.5315
1_1,Constant Potential,1140.01,0.800402,1.0654,1.51343,0.10423,0.897872,-0.526888
1_1,Constant Potential,1200.01,0.800396,1.0654,1.48958,0.102588,0.922897,-0.523881
1_1,Constant Potential,1260.01,0.800392,1.06539,1.45999,0.10055,0.947477,-0.519693
1_1,Constant Potential,1320.01,0.800396,1.0654,1.43354,0.0987288,0.97159,-0.516525
1_1,Constant Potential,1380.01,0.800413,1.06541,1.40916,0.0970492,0.995279,-0.511106
1_1,Constant Potential,1440.01,0.800369,1.06537,1.38878,0.0956458,1.01859,-0.508983
1_1,Constant Potential,1500.01,0.800403,1.0654,1.36432,0.0939612,1.04154,-0.504787
1_1,Constant Potential,1560.01,0.800403,1.0654,1.34551,0.0926658,1.06412,-0.502981
1_1,Constant Potential,1620.01,0.80037,1.06537,1.32076,0.0909617,1.08634,-0.497648
1_1,Constant Potential,1680.01,0.800395,1.06539,1.31477,0.0905486,1.1083,-0.496788
