"Step number","Step name","Elapsed Time (s)","Working Electrode (V)","Working Electrode vs. NHE (V)","Current (mA)","Current Density (mA/cm²)","Cumulative Charge (mAh)","Counter Electrode (V)"
1_1,Constant Potential,60.0002,0.799827,1.06483,4.57095,0.314804,0.0761828,-0.857711
1_1,Constant Potential,120,0.799847,1.06485,3.70975,0.255492,0.145189,-0.784502
1_1,Constant Potential,180,0.799823,1.06482,3.20833,0.220959,0.202839,-0.73881
1_1,Constant Potential,240,0.799831,1.06483,2.8313,0.194993,0.25317,-0.70381
1_1,Constant Potential,300,0.79982,1.06482,2.5903,0.178395,0.29835,-0.681384
1_1,Constant Potential,360,0.799828,1.06483,2.36495,0.162875,0.339643,-0.658689
1_1,Constant Potential,420,0.799823,1.06482,2.19718,0.151321,0.377661,-0.639757
1_1,Constant Potential,480,0.799853,1.06485,2.05734,0.14169,0.413115,-0.625717
1_1,Constant Potential,540,0.799812,1.06481,1.93699,0.133401,0.446401,-0.613464
1_1,Constant Potential,600,0.799839,1.06484,1.83024,0.12605,0.477795,-0.60102
1_1,Constant Potential,660,0.799834,1.06483,1.74182,0.11996,0.507562,-0.589674
1_1,Constant Potential,720,0.799844,1.06484,1.66842,0.114905,0.535981,-0.583245
1_1,Constant Potential,780,0.79984,1.06484,1.60183,0.110319,0.563233,-0.575793
1_1,Constant Potential,840,0.799823,1.06482,1.53593,0.10578,0.589381,-0.567909
1_1,Constant Potential,900,0.799816,1.06482,1.4952,0.102975,0.614641,-0.563637
1_1,Constant Potential,960,0.799807,1.06481,1.44622,0.0996018,0.639152,-0.557524
1_1,Constant Potential,1020,0.79983,1.06483,1.39531,0.0960958,0.662832,-0.550313
1_1,Constant Potential,1080,0.799847,1.06485,1.36145,0.0937639,0.685805,-0.547163
1_1,Constant Potential,1140,0.799869,1.06487,1.33023,0.0916138,0.708235,-0.54404
1_1,Constant Potential,1200,0.799849,1.06485,1.30592,0.0899394,0.730203,-0.539877
1_1,Constant Potential,1260,0.799867,1.06487,1.27316,0.0876835,0.751696,-0.53533
1_1,Constant Potential,1320,0.799837,1.06484,1.2471,0.0858883,0.772698,-0.532326
1_1,Constant Potential,1380,0.799849,1.06485,1.22348,0.0842617,0.793286,-0.529905
1_1,Constant Potential,1440,0.799803,1.0648,1.21286,0.0835301,0.813589,-0.529959
1_1,Constant Potential,1500,0.799837,1.06484,1.18566,0.0816568,0.833577,-0.526295
1_1,Constant Potential,1560,0.799823,1.06482,1.17358,0.0808249,0.853237,-0.522555
1_1,Constant Potential,1620,0.799835,1.06484,1.15183,0.0793269,0.872615,-0.521629
1_1,Constant Potential,1680,0.799816,1.06482,1.14171,0.0786304,0.891728,-0.520289
1_1,Constant Potential,1740,0.799809,1.06481,1.12259,0.0773136,0.910597,-0.518056
1_1,Constant Potential,1800,0.799837,1.06484,1.11059,0.0764872,0.929207,-0.516761
1_1,Constant Potential,1860,0.799824,1.06482,1.10037,0.0757828,0.947632,-0.516
1_1,Constant Potential,1920,0.799844,1.06484,1.09022,0.075084,0.965887,-0.51371
1_1,Constant Potential,1980,0.799825,1.06482,1.08009,0.0743862,0.983973,-0.512017
1_1,Constant Potential,2040,0.799832,1.06483,1.06881,0.0736094,1.00188,-0.510759
1_1,Constant Potential,2100,0.799817,1.06482,1.05228,0.0724714,1.01956,-0.509008
1_1,Constant Potential,2160,0.799813,1.06481,1.04783,0.0721646,1.03706,-0.509104
1_1,Constant Potential,2220,0.799774,1.06477,1.04019,0.0716384,1.05446,-0.508392
1_1,Constant Potential,2280,0.799826,1.06483,1.02622,0.0706761,1.07168,-0.506446
1_1,Constant Potential,2340,0.799823,1.06482,1.02807,0.0708039,1.0888,-0.507418
1_1,Constant Potential,2400,0.799832,1.06483,1.01173,0.0696787,1.10579,-0.503088
1_1,Constant Potential,2460,0.799822,1.06482,1.00622,0.0692986,1.12261,-0.501906
1_1,Constant Potential,2520,0.799822,1.06482,1.00041,0.068899,1.13933,-0.502443
1_1,Constant Potential,2580,0.799805,1.06481,0.998275,0.0687517,1.15599,-0.502494
1_1,Constant Potential,2640,0.79982,1.06482,0.986986,0.0679743,1.17253,-0.500923
1_1,Constant Potential,2700,0.79981,1.06481,0.978637,0.0673993,1.18891,-0.49964
1_1,Constant Potential,2760,0.799806,1.06481,0.978268,0.0673739,1.20522,-0.49799
1_1,Constant Potential,2820,0.799812,1.06481,0.960415,0.0661443,1.22138,-0.497056
1_1,Constant Potential,2880,0.799844,1.06484,0.959388,0.0660736,1.23737,-0.497525
1_1,Constant Potential,2940,0.799818,1.06482,0.950025,0.0654287,1.25329,-0.495651
1_1,Constant Potential,3000,0.799834,1.06483,0.947599,0.0652616,1.2691,-0.495666
1_1,Constant Potential,3060,0.799853,1.06485,0.94028,0.0647575,1.28483,-0.494245
1_1,Constant Potential,3120,0.79985,1.06485,0.937556,0.0645699,1.30048,-0.495578
1_1,Constant Potential,3180,0.799876,1.06488,0.939306,0.0646905,1.31612,-0.495517
1_1,Constant Potential,3240,0.799856,1.06486,0.933962,0.0643225,1.33173,-0.494219
1_1,Constant Potential,3300,0.79987,1.06487,0.925932,0.0637694,1.34723,-0.4932
1_1,Constant Potential,3360,0.799844,1.06484,0.925103,0.0637124,1.36266,-0.493772
1_1,Constant Potential,3420,0.799838,1.06484,0.918163,0.0632344,1.37802,-0.491951
1_1,Constant Potential,3480,0.799842,1.06484,0.907273,0.0624844,1.39323,-0.489848
1_1,Constant Potential,3540,0.799841,1.06484,0.900946,0.0620486,1.4083,-0.489405
1_1,Constant Potential,3600,0.799853,1.06485,0.901774,0.0621056,1.42332,-0.490153
1_1,Constant Potential,3660,0.799862,1.06486,0.896097,0.0617147,1.4383,-0.488662
1_1,Constant Potential,3720,0.799845,1.06485,0.889076,0.0612311,1.45318,-0.488392
1_1,Constant Potential,3780,0.799823,1.06482,0.885153,0.060961,1.46796,-0.487311
1_1,Constant Potential,3840,0.799828,1.06483,0.885591,0.0609911,1.48272,-0.48807
1_1,Constant Potential,3900,0.799799,1.0648,0.880457,0.0606375,1.49744,-0.487777
1_1,Constant Potential,3960,0.799831,1.06483,0.88465,0.0609263,1.51215,-0.48788
1_1,Constant Potential,4020,0.799822,1.06482,0.87395,0.0601894,1.5268,-0.486928
1_1,Constant Potential,4080,0.79982,1.06482,0.871624,0.0600292,1.54135,-0.486564
1_1,Constant Potential,4140,0.79985,1.06485,0.86933,0.0598712,1.55586,-0.48588
1_1,Constant Potential,4200,0.799826,1.06483,0.869321,0.0598706,1.57034,-0.486274
1_1,Constant Potential,4260,0.799836,1.06484,0.861698,0.0593456,1.58477,-0.484548
1_1,Constant Potential,4320,0.799826,1.06483,0.858309,0.0591122,1.5991,-0.4845
1_1,Constant Potential,4380,0.799827,1.06483,0.851914,0.0586718,1.61335,-0.483569
1_1,Constant Potential,4440,0.799832,1.06483,0.858195,0.0591044,1.62761,-0.485033
1_1,Constant Potential,4500,0.799857,1.06486,0.844289,0.0581466,1.64179,-0.483019
1_1,Constant Potential,4560,0.799847,1.06485,0.846965,0.0583309,1.65589,-0.483279
1_1,Constant Potential,4620,0.799829,1.06483,0.839229,0.0577981,1.66994,-0.482568
1_1,Constant Potential,4680,0.799864,1.06486,0.842244,0.0580058,1.68395,-0.482311
1_1,Constant Potential,4740,0.799842,1.06484,0.84594,0.0582603,1.69802,-0.482573
1_1,Constant Potential,4800,0.799822,1.06482,0.829344,0.0571174,1.71198,-0.481278
1_1,Constant Potential,4860,0.799889,1.06489,0.831621,0.0572742,1.72582,-0.4805
